,Title,URL,Views,Likes,Dislikes,Score
0,Vacation Nightmare Sun Sand Prostitutes ABC World News Tonight ABC News YouTube,https://www.youtube.com/watch?v=FthM86dsWYc,3216026,4463,4937,-6784.864978902953
1, 39 Why I went to live with Islamic State 39 BBC News YouTube,https://www.youtube.com/watch?v=fen7TTooi4o,480738,1615,2031,-1155.6201923076924
2,The story of two transgender children BBC News YouTube,https://www.youtube.com/watch?v=PuUxMMKbOUA,14827,61,179,-125.65254237288136
3,NCS 24 7 Live Stream xf0 x9f x8e xb5 Gaming Music Radio NoCopyrightSounds Dubstep Trap EDM Electro H,https://www.youtube.com/watch?v=GVC5adzPpiE,1,40815,1565,2.5477707006369428e-05
4,Al Jazeera English Live YouTube,https://www.youtube.com/watch?v=nVHt1_SWTZg,1,20414,4219,6.174745291756716e-05
5,PJ Masks Full Episodes Live YouTube,https://www.youtube.com/watch?v=DuYZMRogzIY,1,1189,525,0.0015060240963855422
6,Reunited a Homeless Navy Vet With Family After Years YouTube,https://www.youtube.com/watch?v=EzhuZajDpl0,5937539,200446,5924,30.523740245319296
7,I need a drink of my mothafuckin bread bitch YouTube,https://www.youtube.com/watch?v=qiMfyUc9MlM&amp;list=PL_61H6vXt39HEtWoLMRmp3_FBCgjQOwA5,206574,6063,51,34.36027944111776
8,Man With Down Syndrome Silences Entire Congress With 5 Sobering Words VIDEO YouTube,https://www.youtube.com/watch?v=jTbe-u-n0T4,910890,27285,1002,34.65700262527109
9,Rules of war in a nutshell YouTube,https://www.youtube.com/watch?v=HwpzzAefx9M,986421,25880,1318,40.160451103330345
10,GENDERED MARKETING The Checkout YouTube,https://www.youtube.com/watch?v=3JDmb_f3E2c,2566460,65704,3181,41.04825424243878
11,The Last Few Polio Survivors xe2 x80 x93 Last of the Iron Lungs YouTube,https://www.youtube.com/watch?v=gplA6pq9cOs,5147985,112221,1736,46.594424582522514
12,This Black Musician Explains Why He is Friends With White Supremacists YouTube,https://www.youtube.com/watch?v=pESEJNy_gYQ,1429527,32162,1825,47.12156772258299
13,ISIS Goes After China China Uncensored YouTube,https://www.youtube.com/watch?v=P_58lbAO0_Y,349452,7933,926,49.871842443271014
14,Whale 39 saves 39 biologist from shark BBC News YouTube,https://www.youtube.com/watch?v=2xMLwAP2qyk,66258,1316,40,51.926332288401255
15,Former Racist Reveals Why Some White People Fear African Americans YouTube,https://www.youtube.com/watch?v=crgGrxeidpo,1990239,41647,3660,52.392634322268144
16,Priya Prakash Varrier Lifestyle Biography Height Body Measurement Boyfriend Love Expression YouTube,https://www.youtube.com/watch?v=_ygnwKA0P30,367,7,0,52.42857142857143
17,What Makes John Bonham Such a Good Drummer YouTube,https://www.youtube.com/watch?v=UvOm2oZRQIk,3681246,71356,1647,52.808762139752396
18,Racist Woman Repeatedly Calls Man an N Word in Front of Kids Is Confused Why He Is Recording Her You,https://www.youtube.com/watch?v=Zyc7NBflLdI,3979127,72449,3647,57.83446702130752
19,What happens after ISIS falls YouTube,https://www.youtube.com/watch?v=4Ltr7x8nO2M,1812262,34772,3531,58.009090618098014
20,Can We Make A Real Life Batman Suit YouTube,https://www.youtube.com/watch?v=CVbqzelD_Hs,165409,3061,238,58.59334041799504
21,Blind People Describe Racism Blind People Describe Cut YouTube,https://www.youtube.com/watch?v=uqoFsqOJYCg,2415902,45910,5376,59.60186510090295
22,Defying her family in Pakistan BBC News YouTube,https://www.youtube.com/watch?v=hSUm1W0gzag,704230,12166,915,62.592658430361745
23,PUTIN JUST EXPOSED THE PLOT TO DESTROY AMERICA YouTube,https://www.youtube.com/watch?v=Bee70unn9aM,1416207,24207,1659,62.808541777541244
24,Afro Germany being black and German DW Documentary YouTube,https://www.youtube.com/watch?v=pcfPVj5qR1E,505866,9491,1474,63.09916427591369
25,I have a mental illness let me die BBC Stories YouTube,https://www.youtube.com/watch?v=7-w6c-ybwXk,2177436,36039,2120,64.19517084819718
26,Actually Being Mixed Race in Japan interview with 39 Half Japanese 39 People ft Farouq YouTube,https://www.youtube.com/watch?v=MpDF_uV_J1M,2095758,32500,544,65.58261359369132
27,Why do many ARAB COUNTRIES ban AL JAZEERA xe2 x80 x93 VisualPolitik EN YouTube,https://www.youtube.com/watch?v=MOUwi1WHCFA,430292,7204,753,66.70159665168191
28,World 39 s fastest talking man sings Michael Jackson 39 s BAD in 20 seconds YouTube,https://www.youtube.com/watch?v=4X4Fy8YqysY,25912325,388104,8484,68.25858753490333
29,A husband comes home early to find his wife cheating with another man His reaction breaks my heart Y,https://www.youtube.com/watch?v=zfgwxct0nds,1664272,25991,1862,68.97393178333127
30,Why Doesn 39 t the Queen of England Need a Passport YouTube,https://www.youtube.com/watch?v=3oHfEa2YXFI,1895739,27883,1300,71.31396004965579
31,Best Drummer Ever HD YouTube,https://www.youtube.com/watch?v=FqJdzYY_Fas,122659622,1753095,35712,71.42240373871175
32,Ellen Dissects the Kid Interrupted BBC Interview YouTube,https://www.youtube.com/watch?v=dmeBMvGhf1g,4581497,65700,2134,72.07464682377372
33,Walking Through Auschwitz WARNING Actual footage of entire camp YouTube,https://www.youtube.com/watch?v=kmOnS9l1KSQ,5980340,91414,9001,72.5654933080946
