,Title,URL,Views,Likes,Dislikes,Score
0,Justin Bieber Baby ft Ludacris YouTube,https://www.youtube.com/watch?v=kffacxfA7G4&amp;list=PL7cJWYlMnhfxKAbFqMBItmVmjZGCmxhIp,1843851328,8531394,8818545,-6421.190690612256
1,Harry Styles Wild Thoughts cover in the Live Lounge YouTube,https://www.youtube.com/watch?v=Cp4FR2igXuw,1740870,91421,1104,19.27510878350698
2,Miley Cyrus Performing 39 See You Again 39 BBC Live Lounge YouTube,https://www.youtube.com/watch?v=3B2vhaJWZek,19477,863,0,22.568945538818078
3,CHVRCHES Somebody Else The 1975 cover in the Live Lounge YouTube,https://www.youtube.com/watch?v=wEdRhmBx8IU,206473,8546,133,24.542137168667537
4,Ex 39 s amp Oh 39 s feat Vanessa Hudgens YouTube,https://www.youtube.com/watch?v=U5pzC_gUlpA,28152219,1105307,6560,25.622112278804856
5,Niall Horan Issues Julia Michaels in the BBC Radio 1 Live Lounge YouTube,https://www.youtube.com/watch?v=7urUjFX-1ig,2694503,104611,1506,26.133582270500945
6,Miley Cyrus Closes The Tonight Show with quot The Climb quot YouTube,https://www.youtube.com/watch?v=agyTn10mW74,6521512,250364,1007,26.153314324442466
7,Shawn Mendes Bad Reputation MTV Unplugged YouTube,https://www.youtube.com/watch?v=LueM9tEu2wI,5008163,177959,1339,28.355582606726305
8,Miley Cyrus Party In The U S A YouTube,https://www.youtube.com/watch?v=LlqUAxBtcfw,3419658,117874,1249,29.321826366559485
9,Miley Cyrus Party In The U S A YouTube,https://www.youtube.com/watch?v=LlqUAxBtcfw&amp;list=RDLlqUAxBtcfw,3419707,117874,1249,29.322246516613077
10,The Vamps Matoma All Night in the Live Lounge YouTube,https://www.youtube.com/watch?v=354uf65aNvU,207130,7002,45,29.772890613770304
11,13 times Harry Styles vocals had me SHOOK YouTube,https://www.youtube.com/watch?v=JB6ovp0qeMA,1673085,55518,423,30.367274707323713
12,Couple Reacts Little Mix Performs Jason Derulo and Whitney Houston Mash Up Reaction YouTube,https://www.youtube.com/watch?v=9k9hiESgMsc,97004,3186,14,30.581336696090794
