,Title,URL,Views,Likes,Dislikes,Score
0,The Second Amendment How the gun control debate went crazy Kurt Anderson YouTube,https://www.youtube.com/watch?v=fwTN0g4AAkY,76815,1707,1810,-745.7766990291262
1,If one person can change the world imagine what a community can do Chelsea Clinton YouTube,https://www.youtube.com/watch?v=wBCgWWSnT_8,9503,201,328,-74.8267716535433
2,CNN Explains The 2nd Amendment YouTube,https://www.youtube.com/watch?v=BDv1qFBJh1o,89628,235,3243,-29.79654255319149
3,Why America is the world xe2 x80 x99s biggest cult Rose McGowan YouTube,https://www.youtube.com/watch?v=MiVC0HfsLLg,38773,834,6771,-6.5307394306889
4,Best Remixes Of Popular Songs 2018 24 7 Live Stream xf0 x9f x94 xa5 New Hits xf0 x9f x94 xa5 Best ED,https://www.youtube.com/watch?v=3ksvZx4BgD0,1,61090,4098,1.754632229084784e-05
5,Hubble Space Telescope The Wonders Of The Universe NASA Hubble Telescope Astronomy Videos YouTube,https://www.youtube.com/watch?v=5_-rh6L1jiU,1,4541,276,0.00023446658851113716
6,DW News Live YouTube,https://www.youtube.com/watch?v=m5Nst2zMZVY,1,650,88,0.0017793594306049821
7, xe0 xa4 xac xe0 xa4 xbe xe0 xa4 x9c xe0 xa4 xbe xe0 xa4 xb0 xe0 xa4 x94 xe0 xa4 xb0 xe0 xa4 x97 xe0,https://www.youtube.com/watch?v=Meg4p0ph4Uo,1,158,22,0.007352941176470588
8,Skies like Black Eyes YouTube,https://www.youtube.com/watch?v=1W-Eq0gNIqg,26816,2424,31,11.206017551190973
9,Rose McGowan High as a Kite YouTube,https://www.youtube.com/watch?v=3Biw2X8TCys,90688,6892,126,13.403488028377181
10,Bad jobs Family and Depression YouTube,https://www.youtube.com/watch?v=BZAVtDR-SQs,23232,1678,22,14.028985507246377
11,What Having Anxiety Feels Like YouTube,https://www.youtube.com/watch?v=nCgm1xQa06c,5503893,350832,3281,15.836216842995704
