,Title,URL,Views,Likes,Dislikes,Score
0,Hacking Any Site Through JavaScript HTML YouTube,https://www.youtube.com/watch?v=kXgZnNU1L2k,13148,33,38,-2629.6
1,NCS 24 7 Live Stream xf0 x9f x8e xb5 Gaming Music Radio NoCopyrightSounds Dubstep Trap EDM Electro H,https://www.youtube.com/watch?v=GVC5adzPpiE,1,42094,1641,2.4720045484883692e-05
2,Michael Toppa 10 Tips for Clean Code YouTube,https://www.youtube.com/watch?v=ls4iAtOCH8g,148,10,0,14.8
3,Reverse engineering obfuscated JavaScript PopUnder Chrome 59 YouTube,https://www.youtube.com/watch?v=8UqHCrGdxOM,37082,2248,0,16.495551601423486
4,A Framework Author 39 s Case Against Frameworks YouTube,https://www.youtube.com/watch?v=k7n2xnOiWI8,4397,257,0,17.108949416342412
5,Andrew Nacin People Over Code YouTube,https://www.youtube.com/watch?v=7s-31QpnVfE,291,16,0,18.1875
6,Web Rebels 2017 xe2 x80 x93 Jason Lengstorf xe2 x80 x93Who Gives a Fuck About a Monad YouTube,https://www.youtube.com/watch?v=0xbf5zjuE70,255,14,0,18.214285714285715
7,How To Make Package Managers Cry YouTube,https://www.youtube.com/watch?v=kguJ1ihOyV8,864,47,0,18.382978723404257
8,Build a Responsive Grid CSS Website Layout From Scratch YouTube,https://www.youtube.com/watch?v=moBhzSC455o,40223,1893,12,21.383838383838384
9,Clean Code 3 Trucos para Programar Mejor YouTube,https://www.youtube.com/watch?v=uXl-FDykrZU,5181,245,11,22.141025641025642
10,CSS Variable Secrets YouTube,https://www.youtube.com/watch?v=UQRSaG1hQ20,7503,323,0,23.229102167182663
11,How To Learn Software Development Learn These Skills First YouTube,https://www.youtube.com/watch?v=KLAfW-jeHOo,7829,332,0,23.58132530120482
12,Modern Web Security Standards YouTube,https://www.youtube.com/watch?v=j-0Bj40juMI,7973,336,0,23.729166666666668
13,Reverse Engineer packed JavaScript like a Pro Using the 39 Matching Bracket Method 39 YouTube,https://www.youtube.com/watch?v=cs7EQdWO5o0,18672,780,0,23.93846153846154
14,SVG CAN DO THAT YouTube,https://www.youtube.com/watch?v=dv2TvTXQ4FQ,28390,1203,28,24.161702127659574
15,Make CSS Your Secret Super Drawing Tool YouTube,https://www.youtube.com/watch?v=mNKz3devFAw,35480,1444,44,25.34285714285714
