,Title,URL,Views,Likes,Dislikes,Score
0,NASA Live Earth From Space HDVR xe2 x99 xa5 ISS LIVE FEED AstronomyDay2018 Subscribe now YouTube,https://www.youtube.com/watch?v=RtU_mdL2vBM,1,1159379,60258,9.098179363327605e-07
1, xf0 x9f x94 xb4 Deep Sleep Music 24 7 Meditation Music Sleeping Music Peaceful Sleep Relaxing Music,https://www.youtube.com/watch?v=hm-AGNn8QRg,1,1253,130,0.0008904719501335708
2,Let xe2 x80 x99s Build A CSS Game YouTube,https://www.youtube.com/watch?v=HkK7OdY8Z1E,5362,240,0,22.341666666666665
3,The JavaScript Starter Kit Manifesto YouTube,https://www.youtube.com/watch?v=jubd2opc4Ps,16160,653,0,24.747320061255742
4,Is Thorium Our Energy Future Answers With Joe YouTube,https://www.youtube.com/watch?v=XMuxjHLLk0E,142444,4867,184,30.417253897074524
5,Fujitsu Scansnap ix500 Small Business Scanner YouTube,https://www.youtube.com/watch?v=UUVHfL82iEE,245888,7799,143,32.11703239289446
6,Sensor Fusion for Object Tracking YouTube,https://www.youtube.com/watch?v=-nsylEpgVek,5342,157,0,34.02547770700637
7,How to GTD with a Filofax and 43 Folders YouTube,https://www.youtube.com/watch?v=TwR52uD39aw,58430,1718,36,34.7384066587396
8,Code Refactoring Learn Code Smells And Level Up Your Game YouTube,https://www.youtube.com/watch?v=D4auWwMsEnY,27365,798,14,34.90433673469388
9,Python OOP Tutorial 1 Classes and Instances YouTube,https://www.youtube.com/watch?v=ZDa-Z5JzLYM,474119,13430,68,35.48263732974106
10,The Paxos Algorithm YouTube,https://www.youtube.com/watch?v=d7nAGI_NZPk,3784,106,0,35.698113207547166
11,Capsule Networks An Improvement to Convolutional Networks YouTube,https://www.youtube.com/watch?v=VKoLGnq15RM,81799,2230,88,38.18814192343604
12,How to fix the web Brendan Eich TEDxVienna YouTube,https://www.youtube.com/watch?v=zlcnOr81lPc,11130,287,0,38.78048780487805
13,Prof Stuart Russell The History amp Future of Artificial Intelligence YouTube,https://www.youtube.com/watch?v=QPxYd6rw9YI,2551,63,0,40.492063492063494
14,Thorium Periodic Table of Videos YouTube,https://www.youtube.com/watch?v=2yZGcr0mpw0,601885,14527,95,41.70489190687361
15,Cybersecurity Crash Course Computer Science 31 YouTube,https://www.youtube.com/watch?v=bPVaOlJ6ln0,159486,3723,95,43.95975744211687
16,State of golang org x text YouTube,https://www.youtube.com/watch?v=uYrDrMEGu58,2479,55,0,45.07272727272727
17,Why Go Is Successful aka Simplicity is Complicated YouTube,https://www.youtube.com/watch?v=k9Zbuuo51go,11599,293,36,45.13229571984436
18,Using a Bluetooth Scanner to Speed Up the Book Scanning Process For Selling Books on Amazon YouTube,https://www.youtube.com/watch?v=atXdkmFrrA4,7374,159,0,46.37735849056604
19,Heroes of Deep Learning Andrew Ng interviews Geoffrey Hinton YouTube,https://www.youtube.com/watch?v=-eyhCTvrEtE,59605,1237,13,48.696895424836605
20,My 5 Favorite Evernote Features YouTube,https://www.youtube.com/watch?v=kad-OBBhBdM,416428,8550,139,49.509927475924385
21,Quantum Consciousness and its Nature In Microtubules Dr Stuart Hameroff Brief History YouTube,https://www.youtube.com/watch?v=Xx0SsffdMBw,66694,1373,67,51.06738131699847
22,Thorium 2017 YouTube,https://www.youtube.com/watch?v=c7baTdyHv8g,122109,2442,88,51.87298215802889
23,The Post JavaScript Apocalypse Douglas Crockford YouTube,https://www.youtube.com/watch?v=NPB34lDZj3E,44599,900,46,52.223653395784545
24,Transforming Code into Beautiful Idiomatic Python YouTube,https://www.youtube.com/watch?v=OSGv2VnC0go,354249,6771,73,52.888772767990446
25,A Beginner xe2 x80 x99s Guide To Quantum Computing YouTube,https://www.youtube.com/watch?v=JRIPV0dPAd4,283080,5527,297,54.12619502868069
26,How We Learn Versus How We Think We Learn YouTube,https://www.youtube.com/watch?v=oxZzoVp5jmI,20850,384,0,54.296875
27,A More Human Approach to Productivity Chris Bailey TEDxLiverpool YouTube,https://www.youtube.com/watch?v=REFh5TMOoS0,67490,1253,26,55.0040749796251
28,Ted Slingerland quot Trying Not to Try quot Talks at Google YouTube,https://www.youtube.com/watch?v=_y7TKr0t0PU,8011,145,0,55.248275862068965
