,Title,URL,Views,Likes,Dislikes,Score
0,24 7 lofi hip hop radio smooth beats to study sleep relax YouTube,https://www.youtube.com/watch?v=2L9vFNMvIBE,1,125215,3038,8.18484657505095e-06
1, xe2 x96 xb6 xef xb8 x8f WORK amp STUDY JAZZ Music Radio 247 Live Stream Relaxing Jazz For A Success,https://www.youtube.com/watch?v=vmY6qBbrhU0,1,4679,232,0.00022487069934787497
2,Huun xe2 x80 x90Huur xe2 x80 x90Tu Full Performance Live on KEXP YouTube,https://www.youtube.com/watch?v=R2ovoRyv4kw,812634,21494,229,38.21462497060898
3,Drake God xe2 x80 x99s Plan YouTube,https://www.youtube.com/watch?v=xpVfcZ0ZcFM,219778373,4451717,104002,50.55031735060831
4,Muerdo ft Lola Membrillo Perot xc3 xa1 Ching xc3 xb3 Semillas YouTube,https://www.youtube.com/watch?v=hfzSy9IkRJQ,1372300,20670,352,67.5410965646225
5,Gus Gus perfom quot Arabian Horse quot Live R I Reykjavik Iceland YouTube,https://www.youtube.com/watch?v=GiDPUXLyMJI,13631,190,0,71.7421052631579
6,The Tallest Man on Earth quot Both Sides Now quot Joni Mitchell Ep 3 of The Light in Demos YouTube,https://www.youtube.com/watch?v=ko0d-BQLbvU,325351,4453,86,74.50217540645752
7,Grimes Full Performance Live on KEXP YouTube,https://www.youtube.com/watch?v=FJ5XUw4qHZo,2903858,35394,550,83.33882447480198
8,S xc3 xb3ley I 39 ll Drown Live on KEXP YouTube,https://www.youtube.com/watch?v=SnYBSAN42Hc,3471575,36952,511,95.26563486183146
9,Dulcito e Coco Vicente Garc xc3 xada Junto a Kumary Sawyers YouTube,https://www.youtube.com/watch?v=Tcnqs81cOSg,4678115,49727,822,95.65719251610265
10,Charles Bradley Why Is It So Hard Live on KEXP YouTube,https://www.youtube.com/watch?v=yBdTVmSVq14,10592891,109870,1291,97.55929783844022
11,James Blake Retrograde Live on KEXP YouTube,https://www.youtube.com/watch?v=rPy5GXul1AI,2421760,24469,480,100.9529367626829
12,Sin Ti Rawayana Willy Rodr xc3 xadguez Cultura Prof xc3 xa9tica McKlopedia amp La Vida Boh xc3 xa8me,https://www.youtube.com/watch?v=jRuXTUwOfoQ,14907423,150339,3295,101.38069557411387
13,OCEAN John Butler 2012 Studio Version YouTube,https://www.youtube.com/watch?v=jdYJf_ybyVo,36900180,346585,5062,108.04595883732574
