,Title,URL,Views,Likes,Dislikes,Score
0,Beautiful Relaxing Music 24 7 Study Music Sleep Music Meditation Music Sleeping Music YouTube,https://www.youtube.com/watch?v=NuIAYHVeFYs,1,79482,3800,1.3213181469834308e-05
1,Relaxing Jazz amp Bossa Nova Music Radio 24 7 Chill Out Piano amp Guitar Music Live Stream YouTube,https://www.youtube.com/watch?v=2ccaHpy5Ewo,1,64980,2544,1.601640079441348e-05
2,Beautiful Piano Music 24 7 Study Music Relaxing Music Sleep Music Meditation Music YouTube,https://www.youtube.com/watch?v=y7e-GC6oGhg,1,45196,2265,2.3293191400153734e-05
3,Progressive House xc2 xb7 Relaxing Focus Music xc2 xb7 24 7 Live Radio YouTube,https://www.youtube.com/watch?v=xcoac7I-J8M,1,21014,939,4.9813200498132005e-05
4,ChillYourMind Radio xe2 x80 xa2 24 7 Music Live Stream Deep amp Tropical House Chill Music Dance Mus,https://www.youtube.com/watch?v=Av8XpCoF3T0,1,11235,451,9.27299703264095e-05
5,Relaxing Music 24 7 Study Music Light Music Spa Music YouTube,https://www.youtube.com/watch?v=6XPFG1keZak,1,7602,270,0.00013638843426077467
6,Deep House xc2 xb7 Relaxing Study Music xc2 xb7 24 7 Live Radio YouTube,https://www.youtube.com/watch?v=z6NUZMeeCdM,1,5920,256,0.00017655367231638418
7,BLACKPINK Lisa at the Nonagon Galery YouTube,https://www.youtube.com/watch?v=RHfdVPDCmvQ,395,52,0,7.596153846153846
8,Kainalu Folds Like Origami YouTube,https://www.youtube.com/watch?v=5ivBbrLLowQ,2371,277,0,8.559566787003611
9,Lisa Mitchell California Phantom Planet The OC Theme Cover YouTube,https://www.youtube.com/watch?v=x4ua8GOWfk8,3583,334,0,10.72754491017964
10,Ain 39 t No Sunshine Sarah Blackwood YouTube,https://www.youtube.com/watch?v=x1l_HK5y_Fs,11682,1031,0,11.33074684772066
11,Colouring The Wave SleepMusic YouTube,https://www.youtube.com/watch?v=0zITXlYdcx0,2878,216,0,13.324074074074074
12,GUNSHIP Art3mis amp Parzival YouTube,https://www.youtube.com/watch?v=WQaH3lh-CA4,122568,6749,60,18.323815219016296
13,East Love Birds YouTube,https://www.youtube.com/watch?v=yfjwcjr_vVk,10919,571,0,19.122591943957968
14,Why Danny Phantom Was Cancelled ft Butch Hartman amp The Phandom Tracing the Border 9 YouTube,https://www.youtube.com/watch?v=XkPQSk2i_qg,137281,7238,128,19.30815752461322
15,I became Anorexic for Instagram YouTube,https://www.youtube.com/watch?v=F5zSw1ExmwA,2746687,141134,2513,19.81436434595047
16,Getting Delay without using any effects YouTube,https://www.youtube.com/watch?v=MNzBFgwkU0A,1528173,77387,703,19.92818580147097
17,John Lingard amp The Foreign Hearts Forest For The Trees YouTube,https://www.youtube.com/watch?v=RFjW_n8a-JY,19122,757,15,25.77088948787062
18,Vancouver Sleep Clinic Ayahuasca YouTube,https://www.youtube.com/watch?v=dEG_MyqN9XY,238464,9324,259,26.306012134583565
19,David Grumel A Starry Night YouTube,https://www.youtube.com/watch?v=GO1v826tL3Q,22871,870,12,26.656177156177158
20,Jesse Taylor Mountains YouTube,https://www.youtube.com/watch?v=EaYYIFQA81A,31503,1132,11,28.102586975914363
21,Apple It 39 s Good If You Like CRAP YouTube,https://www.youtube.com/watch?v=MKJjLwMUPJI,1465565,57208,10090,31.10414279044102
22,East Love Elastic Heart Acoustic Cover YouTube,https://www.youtube.com/watch?v=MzFI8s9Q8Tg,2314,73,0,31.698630136986303
23,We Move Mountains Grace I 39 m Coming Home YouTube,https://www.youtube.com/watch?v=E14X4OUVYiE,25930,824,20,32.25124378109453
24,KORTEZ Ju xc5 xbc nie pami xc4 x99tam Official Audio YouTube,https://www.youtube.com/watch?v=UdxmqjnKNw4,57991,1803,32,32.74477696216827
25,Echos Shadow Of The Day YouTube,https://www.youtube.com/watch?v=o2tN85ljeN4,849453,26107,418,33.066799019035386
26,James Beau Barclay Lost More YouTube,https://www.youtube.com/watch?v=gRS3ofMpoQI,15675,489,18,33.28025477707006
27,Apple 39 s Money Problem amp Why It Won 39 t Buy Netflix YouTube,https://www.youtube.com/watch?v=yloJi635Ya8,1115471,33999,1479,34.301076260762606
28,Covey Bows YouTube,https://www.youtube.com/watch?v=q7p-q5ECIss,16856,480,0,35.11666666666667
29,Tow 39 rs Going YouTube,https://www.youtube.com/watch?v=xoU75S6fm-g,47810,1334,0,35.839580209895054
30,Beach House Soir xc3 xa9e de Poche 14 YouTube,https://www.youtube.com/watch?v=hmNEp4D_2R8,173000,4714,33,36.9579149754326
31,Flora Cash You 39 re Somebody Else Lyrics YouTube,https://www.youtube.com/watch?v=o0sqWo8BHt8,1050780,27957,238,37.908293949998196
32,Mountains of the Moon Overgrown YouTube,https://www.youtube.com/watch?v=NnUbtJl__IQ,67356,1778,27,38.46716162193032
33,Sean Rowe quot I 39 ll Follow Your Trail quot YouTube,https://www.youtube.com/watch?v=vd7VqA0ZA-U,254611,6684,66,38.47249924448474
34,Jack Cookson Circus YouTube,https://www.youtube.com/watch?v=Wn0oampvk1g,11323,304,12,38.77739726027397
35,Walking On Cars Nothing 39 s Impossible YouTube,https://www.youtube.com/watch?v=0pDGgZNoHdA,135997,3526,55,39.180927686545665
36,Chase Eagleson The Scientist Cover Sessions YouTube,https://www.youtube.com/watch?v=9ZhtmnlWdIM,153651,3836,42,40.49841855561413
37,Imagination A Lovely Chill Mix YouTube,https://www.youtube.com/watch?v=yrlCQeQdYjI,4772,116,0,41.13793103448276
38,BRVTHR Here We Are YouTube,https://www.youtube.com/watch?v=PgPLmNiHn2Q,115598,2835,39,41.344062947067236
39,East Love Sweet Arizona Lyrics Video YouTube,https://www.youtube.com/watch?v=WdzAhExcMPE,1551,36,0,43.083333333333336
40,Citizen Way I Will Official Lyric Video YouTube,https://www.youtube.com/watch?v=k_bHd2-QhuQ,5846408,135786,1286,43.467717472118956
41,Dream Beautiful Chill Mix YouTube,https://www.youtube.com/watch?v=Q2Jg4TfuXCQ,6339,138,0,45.93478260869565
42,Mykey Maybe I Was The One YouTube,https://www.youtube.com/watch?v=rj4wru0edIo,162004,3443,23,47.369590643274854
43,Etham Better Now Acoustic YouTube,https://www.youtube.com/watch?v=tCgPLh7VM1U,1260820,26661,205,47.65724221348654
44,When Someone Requests A Steve Vai Song YouTube,https://www.youtube.com/watch?v=0sKcF8bWBZM,3356096,73653,3276,47.68739787146369
45, quot Lonely Nights quot Chillstep Mix YouTube,https://www.youtube.com/watch?v=oXSOej4oN10,3298455,70151,1167,47.81478313811898
46,Frozen Houses Thursday Lights YouTube,https://www.youtube.com/watch?v=ltTpoiKTe1E,16748,369,21,48.12643678160919
47,Jome Snow YouTube,https://www.youtube.com/watch?v=_FjIAf7odSs,716120,14840,120,48.64945652173913
48,Ed Patrick Eyes On YOu YouTube,https://www.youtube.com/watch?v=OIRL_MnGZRs,54432,1116,0,48.774193548387096
49,Hollow Coves Coastline Lakeside Acoustic Session YouTube,https://www.youtube.com/watch?v=Cp-1t9B62zc,1412090,28917,283,49.31514982189006
50,John John Brown Heartshine YouTube,https://www.youtube.com/watch?v=Sru9C0USVf0,2189,44,0,49.75
51,Cold Weather Company No Burden YouTube,https://www.youtube.com/watch?v=5TV2SjwOLfs,99728,2019,21,49.913913913913916
52,Native Ocean YouTube,https://www.youtube.com/watch?v=5PsruCnmP4A,507435,10232,98,50.072528123149795
53,Brexit Why Britain Left the European Union YouTube,https://www.youtube.com/watch?v=GLp7LtXmy68,914255,19948,1763,50.27522683530382
54,Woodlock Forever Ago YouTube,https://www.youtube.com/watch?v=uUzJGD9yGwA,694440,13798,145,50.86354647330257
55,Jack and the Weatherman Till The Sun Comes Up YouTube,https://www.youtube.com/watch?v=Gs03hszcnFU,109590,2162,18,51.11473880597015
56,TAY OSKEE That Place camp session YouTube,https://www.youtube.com/watch?v=5Jov9dc4oG8,8060,156,0,51.666666666666664
57,Stu Larsen Chicago Song YouTube,https://www.youtube.com/watch?v=_2Xgxyi1z2U,84351,1647,17,51.749079754601226
58,John John Brown The Road YouTube,https://www.youtube.com/watch?v=T_rqcmmfjTY,105005,2023,24,52.5287643821911
59,MOSTLY strings Music Collection Part 1 YouTube,https://www.youtube.com/watch?v=IpL68DdNCZ4,1574,29,0,54.275862068965516
60,The 1975 Robbers Alternate Music Video YouTube,https://www.youtube.com/watch?v=h5JR8Tip4Uo,854792,15715,151,54.921099974299665
61,WILD All My Life YouTube,https://www.youtube.com/watch?v=ci67LphFIFM,1244653,22768,215,55.18791291624174
62,Sleeping At Last quot Saturn quot Official Music Video YouTube,https://www.youtube.com/watch?v=dzNvk80XY9s,10790362,196148,1596,55.462611538303385
63,rainymood lofi jazzhop chill mix YouTube,https://www.youtube.com/watch?v=JCcXBSgwdVo,521107,9442,171,56.20828389601985
64,Stu Larsen Going Back To Bowenville YouTube,https://www.youtube.com/watch?v=P7Svwne303Q,53785,956,0,56.26046025104603
65,ELYSIUM A Beautiful Chillout Mix by Pulse8 1 Hour YouTube,https://www.youtube.com/watch?v=sj2pZS7aG2A,65226,1181,25,56.42387543252595
66,Jack and the Weatherman Rock Bottom YouTube,https://www.youtube.com/watch?v=WkA3bo1pNT8,123065,2168,23,57.37296037296037
67,Sean Christopher Wasteland YouTube,https://www.youtube.com/watch?v=gRfN_wHVquA,66277,1166,18,57.73257839721254
68,Chris Brenner Blame It On Me cover YouTube,https://www.youtube.com/watch?v=jTY9BBScTAU,85683,1507,26,57.85482781904119
69,Hammock The House Where We Grew Up YouTube,https://www.youtube.com/watch?v=lUlkj2jRCq8,74871,1311,23,58.129658385093165
70,Inward Oceans Valleys YouTube,https://www.youtube.com/watch?v=wyWepGG40SQ,104798,1812,22,58.5463687150838
71,Best of 2017 Mix YouTube,https://www.youtube.com/watch?v=x2P7nDtXg-A,4100980,71692,1684,58.57873385898755
72,Lights amp Motion All the Way YouTube,https://www.youtube.com/watch?v=mQdTQarW378,90333,1560,22,58.73407022106632
73,Harrison Storm Change It All YouTube,https://www.youtube.com/watch?v=dOOW95P8LB4,326132,5600,56,58.826118326118326
74,Maldito Alone Made Of Ice YouTube,https://www.youtube.com/watch?v=wM0daiDlCQ0,975418,16743,180,58.89138441103665
75,DO TEENS KNOW 70s MUSIC REACT Do They Know It YouTube,https://www.youtube.com/watch?v=5_VKCpmJ7b8,2837337,48983,964,59.087798579728855
76,Elmore Close To You ACOUSTIC DEMO YouTube,https://www.youtube.com/watch?v=XzB9zMIF9mI,217113,3668,27,59.63004669046965
77,Thom Byles The Great Outdoors YouTube,https://www.youtube.com/watch?v=k3-w8fMGnwE,113623,1927,33,59.99102428722281
78,TYNE Crawl YouTube,https://www.youtube.com/watch?v=5euqPyX-siY,501565,8379,93,60.53161959932416
79,Imagine Dragons Next To Me Audio YouTube,https://www.youtube.com/watch?v=-C_rvt0SwLE,32400120,542590,11910,61.05396849325394
80,Oh Wonder All We Do YouTube,https://www.youtube.com/watch?v=xPGREQvK-dQ,12038232,200229,3919,61.32256125515766
81,Tom Walker Fly Away With Me Official Video YouTube,https://www.youtube.com/watch?v=s5dhDn3R0A0,15443207,254809,3670,61.49266740729237
82,2 22 Soundtrack Someone to Stay YouTube,https://www.youtube.com/watch?v=is4C4rzowpE,721907,11808,111,61.71727793451312
83,Angus and Julia Stone River YouTube,https://www.youtube.com/watch?v=w1abLfvfaAE,329408,5415,84,61.79103357719002
84,Old Forest Beautiful Chillstep Mix YouTube,https://www.youtube.com/watch?v=1eQCzql3dzI,45002,729,15,63.02801120448179
85,The Collection Sing of the Moon YouTube,https://www.youtube.com/watch?v=5RXA4F1wJYc,1712243,27390,241,63.06836347563446
86,Why You Shouldn 39 t Tell People about Your Plans amp Dreams xe2 x94 x87 By Mufti Menk YouTube,https://www.youtube.com/watch?v=eFEonR81-5U,810600,13241,423,63.23919488219691
87,Submerged Chill Mix YouTube,https://www.youtube.com/watch?v=bjvZ5wo0PeI,90349,1462,41,63.58128078817734
88,Jacob Lee Secrets YouTube,https://www.youtube.com/watch?v=qQ-eJSwXS5c,1975595,31311,407,63.926837949779966
89,Olde Wise Lone Rider YouTube,https://www.youtube.com/watch?v=AgBgH8q0DRc,79393,1252,15,64.1818916734034
90, 39 Broken 39 A Beautiful Chillstep Mix Epic Music Mix YouTube,https://www.youtube.com/watch?v=36csrfm6qrk,1016225,16224,393,64.1920914661108
91,Billie Eilish Ocean Eyes Astronomyy Remix YouTube,https://www.youtube.com/watch?v=v9U0qMHHkSo,3970318,62512,838,64.37587962512566
92,Inward Oceans Rolling Through YouTube,https://www.youtube.com/watch?v=YtkCBDQRlBc,75994,1195,20,64.67574468085107
93,RY X Howling YouTube,https://www.youtube.com/watch?v=Zzf0zAdVkSE,479152,7478,101,64.95214856987936
94,Jardier Pieces YouTube,https://www.youtube.com/watch?v=MYWrz2sqnH4,105060,1636,22,65.09293680297398
95,Reddening West Marjorie YouTube,https://www.youtube.com/watch?v=U1pr31fTdDI,79499,1240,22,65.27011494252874
96,Harrison Storm The Words You Say YouTube,https://www.youtube.com/watch?v=kiaFCCElq-w,261257,3990,33,66.02400808693454
97,MAGIC No Regrets YouTube,https://www.youtube.com/watch?v=Vo-f26bDuZ8,1201085,18370,203,66.11355754940276
98,Uplifting Chill Mix 39 Happiness 39 Euphoric Music 1 Hour YouTube,https://www.youtube.com/watch?v=2mREd6kvE_I,316109,4943,181,66.38156236875263
99,Rain Beautiful Chill Mix YouTube,https://www.youtube.com/watch?v=qO1dxspsYn0,105462,1629,46,66.62160454832596
100,Jack and the Weatherman Rock Bottom xe2 x80 xa2 Mokum Sessions 133 YouTube,https://www.youtube.com/watch?v=RojJqtWKlLY,20756,308,0,67.3896103896104
101,East Love Firefly YouTube,https://www.youtube.com/watch?v=QjSevzDLiHA,24176,356,0,67.91011235955057
102,Wandering Mind An Autumn Chill Mix xe2 x99 xab YouTube,https://www.youtube.com/watch?v=cZw4l3Tp89k,336162,5082,148,68.13173895419538
103,Newen Afrobeat feat Seun Kuti amp Cheick Tidiane Seck Opposite People Fela Kuti YouTube,https://www.youtube.com/watch?v=mFSRCG4DrmI,1860436,27974,678,68.15782532239156
104,Songs from the Heart Indie Alternative Folk Pop Other Playlist 2017 YouTube,https://www.youtube.com/watch?v=afx46u30FUY,8670,127,0,68.26771653543307
105,East Love Sweet Arizona Official Video w Lucie Fink YouTube,https://www.youtube.com/watch?v=kTOUoQ4VVKE,32783,524,47,68.72746331236897
106,Simply Three Rain Original Song YouTube,https://www.youtube.com/watch?v=KFppTBdCse8,11403321,168174,2274,68.73611211573237
107,Ed Sheeran Perfect Official Animated Video YouTube,https://www.youtube.com/watch?v=OmketaeA0m0,2655204,39577,1174,69.14053589563315
108,Zach Winters These Are the Days YouTube,https://www.youtube.com/watch?v=X0O4GqOFSSk,140320,2048,23,69.29382716049383
109,Tall Heights Spirit Cold YouTube,https://www.youtube.com/watch?v=hOkH2hxeoB8,952981,13867,120,69.32283407288863
110,Jack Johnson quot Accidental Rock Star quot 1080p HD 2017 YouTube,https://www.youtube.com/watch?v=vjeqW8kwRdw,91889,1333,16,69.7714502657555
111,Thorin Loeks Coming Home Premiere YouTube,https://www.youtube.com/watch?v=B7FAa_SEN5o,121287,1772,41,70.06759098786829
112,East Love Left My Love YouTube,https://www.youtube.com/watch?v=s5ONpn1oaZA,149790,2156,30,70.45625587958608
113,Sean Christopher A Thousand Hues Live 2018 YouTube,https://www.youtube.com/watch?v=9_KWV0mId5s,3222,45,0,71.6
114,COSTA O Som Mais Belo YouTube,https://www.youtube.com/watch?v=zEDbmv-75b8,80846,1145,21,71.92704626334519
115,Tay Oskee That Place YouTube,https://www.youtube.com/watch?v=U0Q90Rz-z5E,138332,1945,24,72.01041124414367
116,Hammock Sinking Inside Yourself YouTube,https://www.youtube.com/watch?v=lt0Ji14Zkyk,811670,11406,173,72.25763375767826
117, quot Ten Things I Have Learned About the Sea quot YouTube,https://www.youtube.com/watch?v=rKwmzdjlofk,124804,1737,16,72.5183033120279
118,Vikings Soundtrack If I Had A Heart Hardanger Violin Cover YouTube,https://www.youtube.com/watch?v=5rQdSRdH-EA,1985722,27661,560,73.27117080550534
119,Mountains of the Moon Bayou YouTube,https://www.youtube.com/watch?v=V5i7awRSywk,1591171,21978,284,73.34613257121785
120,How bad is the 20 car stereo from Walmart Install Review YouTube,https://www.youtube.com/watch?v=WmPEy7Ec4KU,482573,7096,519,73.3728143530485
121,Winter Aid The Wisp Sings YouTube,https://www.youtube.com/watch?v=TOsJasWO_Jc,1886427,25881,218,73.50765693800413
122,Chillstep Mix 39 Reasons 39 1 Hour of Chill Music YouTube,https://www.youtube.com/watch?v=e3dVDn1A4C8,178740,2466,68,74.53711426188491
123,East Love Sweet Arizona YouTube,https://www.youtube.com/watch?v=Li3_OuyZUf0,74653,1037,38,74.72772772772772
124,Dirty South With You ft FMLYBND YouTube,https://www.youtube.com/watch?v=8826thEoRYo,3519091,47958,1491,75.73312243097251
125,Barcelona Fall in Love With Lyrics YouTube,https://www.youtube.com/watch?v=Hq7zpf-1wqw,4121054,54540,715,76.56393869019972
126,We Are All Astronauts Ether YouTube,https://www.youtube.com/watch?v=-fFbeSykaJk,4454120,59227,1195,76.75282602701958
127,The Brevet Into The Storm YouTube,https://www.youtube.com/watch?v=TUsn58cn4rk,106351,1406,21,76.78772563176895
128, 39 AURORA 2 39 Chillstep Mix 1 Hour of Chillstep Music by Pulse8 YouTube,https://www.youtube.com/watch?v=lCNMTfb_kxY,943554,12547,264,76.81787836847676
129,Winter Calm A Sunday Chill Mix xe2 x99 xab YouTube,https://www.youtube.com/watch?v=rahRaVtEQaM,3889115,51682,1237,77.09614431559123
130,Relaxing Sunday Mornings xe2 x98 x95 An Indie Folk Pop Playlist Vol 1 YouTube,https://www.youtube.com/watch?v=Q1jE25zn8RU,6098976,80779,2110,77.52705640086947
131,Fernweh A Chill Indie Folk Mix YouTube,https://www.youtube.com/watch?v=DjWnx1uSkkY,924099,12073,170,77.6358060993027
132,Austin Plaine Never Come Back Again YouTube,https://www.youtube.com/watch?v=2FCI9zBshCs,1558562,20049,168,78.39454755796991
133,ESCAPE 2 A Beautiful Chill Mix YouTube,https://www.youtube.com/watch?v=_k9P1dtJhqM,141271,1840,38,78.39678135405106
134,Best Of Foy Vance Ultimate Playlist YouTube,https://www.youtube.com/watch?v=O7bkKxzByJ0,43712,568,13,78.76036036036037
135,Toledo Alstroemeria YouTube,https://www.youtube.com/watch?v=2rTmbajCNhQ,72241,937,21,78.86572052401746
136,Trevor Holmes Captures Katy Perry 39 s Heart During His Idol Audition American Idol 2018 on ABC YouT,https://www.youtube.com/watch?v=WOZUmzCZrkE,1694384,21810,587,79.83715780049945
137,Finding Hope Without You Lyric Video feat Holly Drummond YouTube,https://www.youtube.com/watch?v=FlY_ei-FnGY,5440729,68878,936,80.07902328456625
138,Seafret Oceans YouTube,https://www.youtube.com/watch?v=aqsL0QQaSP4,51806795,651770,8636,80.55365600325904
139,Chelo Rojas Crepitar YouTube,https://www.youtube.com/watch?v=jXAW2OjfZAk,62114,823,53,80.66753246753247
140,Hollow Coves The Woods YouTube,https://www.youtube.com/watch?v=CyNcgqUjRe4,3577465,44651,374,80.79736657858481
141,Cold Weather Company Wide Eyed YouTube,https://www.youtube.com/watch?v=3g4w7UFlvHw,169776,2105,18,81.34930522280786
