,Title,URL,Views,Likes,Dislikes,Score
0,NASA Live Earth From Space HDVR xe2 x99 xa5 ISS LIVE FEED AstronomyDay2018 Subscribe now YouTube,https://www.youtube.com/watch?v=RtU_mdL2vBM,1,1159396,60260,9.098055199720507e-07
1,NASA TV Public Education YouTube,https://www.youtube.com/watch?v=wwMDvPCGeE0,1,164988,9594,6.435254900446607e-06
2,Time Lapse Collection Earth from space Images from astronauts on the ISS YouTube,https://www.youtube.com/watch?v=qyEzsAy4qeU,1,88254,4123,1.1886225053785169e-05
3,NASA TV Media YouTube,https://www.youtube.com/watch?v=P11y8N22Rq0,1,29407,2043,3.654436485893875e-05
4,Live Train 24 24 Train Driver 39 s View Cab View in Norway Rail World Line Snow Cover in WINTER YouT,https://www.youtube.com/watch?v=DhPYnvZmFQA,1,14728,735,7.14643035803616e-05
5,Hubble Space Telescope The Wonders Of The Universe NASA Hubble Telescope Astronomy Videos YouTube,https://www.youtube.com/watch?v=5_-rh6L1jiU,1,6799,438,0.00015720798616569723
6,Physics in 6 minutes YouTube,https://www.youtube.com/watch?v=t215Q1oBoXQ,321476,14069,597,23.862529691211403
7,Does Your Company Need an AI Strategy YouTube,https://www.youtube.com/watch?v=DJNVVNjHKAM,239,10,0,23.9
8,Half Derivative of x YouTube,https://www.youtube.com/watch?v=gaAhCTDc6oA,34500,1460,38,24.261603375527425
9,How to setup a Machine Learning and Deep Learning Environment YouTube,https://www.youtube.com/watch?v=WQt4H1Bo0jM,2523,98,0,25.744897959183675
10,The Most Scientific Way to Train Your BACK In 2018 Training Science Explained YouTube,https://www.youtube.com/watch?v=12xHxUnBEiI,559153,21980,271,25.756736837256437
11,Why sin and cos don 39 t mean anything YouTube,https://www.youtube.com/watch?v=AzVL432lEWA,266071,10865,655,26.059843290891283
12,Life Lessons From 100 Year Olds YouTube,https://www.youtube.com/watch?v=9AThycGCakk,6500956,249425,2408,26.31784856912682
13,But what is a Neural Network Chapter 1 deep learning YouTube,https://www.youtube.com/watch?v=aircAruvnKk,1292528,47981,295,27.10497840036908
14,My journey into Software Engineering YouTube,https://www.youtube.com/watch?v=U8pBOsx--d0,184941,6554,65,28.500693481276006
15,How I Learned to Code and Got a Job at Google YouTube,https://www.youtube.com/watch?v=mElVGah7Epg,769595,26751,455,29.266618497109828
16,What Is Dynamic Programming and How To Use It YouTube,https://www.youtube.com/watch?v=vYquumk4nWw,102583,3500,50,29.734202898550723
17,The 3 Myths of the Indian Education System Vinay Menon TEDxThiruvananthapuram YouTube,https://www.youtube.com/watch?v=9Q7Zl3OI4us,582520,19966,441,29.83457106274008
18,The hardest problem on the hardest test YouTube,https://www.youtube.com/watch?v=OkmNXy7er84,1737357,55660,772,31.652765631832093
19,The Secrets Of Vibration amp Frequency The Power Of Sound YouTube,https://www.youtube.com/watch?v=_aeeNMk04l0,537142,17203,355,31.88164767331434
20,Let 39 s teach for mastery not test scores Sal Khan YouTube,https://www.youtube.com/watch?v=-MTRxRO5SRA,870024,26446,193,33.13998400182836
21,Why I Left My 100 000 Job at Google YouTube,https://www.youtube.com/watch?v=4KcMdH8qiuk,2552973,80771,5011,33.69816525871172
