,Title,URL,Score,Author,Views,Likes,Dislikes
0,RELAXING SMOOTH JAZZ Music Radio 24 7 Relaxing Chill Out Music Live Stream YouTube,https://www.youtube.com/watch?v=IAuDGkJdvXM,0.00017543859649122806,Relax Music,1,5945,245
1, xf0 x9f x8e xa7Best Of Epic Music xe2 x80 xa2 Live Stream 24 7 BATTLE OF DRAGONS YouTube,https://www.youtube.com/watch?v=ZuCf-zZawSc,0.0015267175572519084,Epic Music VN,1,673,18
2,M xc3 xa9xico y Am xc3 xa9rica Latina MOZART HEROES Agencia de conciertos YouTube,https://www.youtube.com/watch?v=Gurab6JW2O4&amp;start_radio=1&amp;list=RDGurab6JW2O4,10.475027746947836,MOZART HEROES Official ,9438,911,10
3,M xc3 xa9xico y Am xc3 xa9rica Latina MOZART HEROES Agencia de conciertos YouTube,https://www.youtube.com/watch?v=Gurab6JW2O4,10.475027746947836,MOZART HEROES Official ,9438,911,10
4,Captain America plays Avengers Main Theme YouTube,https://www.youtube.com/watch?v=KSiobulYDnA,17.326879271070617,Akademia Filmu i Telewizji,15213,878,0
5,HAUSER quot Live in Zagreb quot FULL Classical Concert YouTube,https://www.youtube.com/watch?v=g91kQyy4G7E,18.734341252699785,HAUSER,34696,1878,26
6,Getting Delay without using any effects YouTube,https://www.youtube.com/watch?v=MNzBFgwkU0A,24.971073128304358,Rob Scallon,2555215,103447,1120
7,2CELLOS Eye Of The Tiger OFFICIAL VIDEO YouTube,https://www.youtube.com/watch?v=l8KpjxesjsU,27.404322800422882,2CELLOS,1633051,60325,734
8,IRON MAIDEN Symphony Medley Rock Symphony 27 YouTube,https://www.youtube.com/watch?v=rVjwMB5k87A,29.6592768540512,Miki Maiden,112379,3904,115
9,When Someone Requests a Piano Song from a Guitar Player YouTube,https://www.youtube.com/watch?v=4a0Jk7RVjpc,31.29761282261571,D xc3 x98VYDAS,5686119,185216,3537
10,Top 10 Movie Songs on Piano YouTube,https://www.youtube.com/watch?v=0xqA9tTZEZU,31.53781260666218,Vinheteiro,6837587,219298,2492
11,Ed Sheeran Despacito L Fonsi Brahms MOZART HEROES Unplugged Session 2 Official Video YouTube,https://www.youtube.com/watch?v=zM8dSe7W8Nk&amp;start_radio=1&amp;list=RDzM8dSe7W8Nk,34.11922503725783,MOZART HEROES Official ,22894,697,26
12,Ed Sheeran Despacito L Fonsi Brahms MOZART HEROES Unplugged Session 2 Official Video YouTube,https://www.youtube.com/watch?v=zM8dSe7W8Nk,34.16143497757847,MOZART HEROES Official ,22854,695,26
13,Metallica Nothing Else Matters Live Remastered MOZART HEROES EP ON FIRE YouTube,https://www.youtube.com/watch?v=L8Z3T0f5LYU&amp;list=RDL8Z3T0f5LYU&amp;start_radio=1,34.216842105263154,MOZART HEROES Official ,16253,475,0
14,Metallica Nothing Else Matters Live Remastered MOZART HEROES EP ON FIRE YouTube,https://www.youtube.com/watch?v=L8Z3T0f5LYU,34.216842105263154,MOZART HEROES Official ,16253,475,0
15,IRON MAIDEN MOZART Fear Of The Dark MOZART HEROES EP ON FIRE YouTube,https://www.youtube.com/watch?v=YTwmnugby8Y,34.483275087368945,MOZART HEROES Official ,69070,2066,63
16,IRON MAIDEN MOZART Fear Of The Dark MOZART HEROES EP ON FIRE YouTube,https://www.youtube.com/watch?v=YTwmnugby8Y&amp;start_radio=1&amp;list=RDYTwmnugby8Y,34.483275087368945,MOZART HEROES Official ,69070,2066,63
17,IRON MAIDEN MOZART Fear Of The Dark MOZART HEROES EP ON FIRE YouTube,https://www.youtube.com/watch?v=YTwmnugby8Y&amp;list=RDuK-ONxAPjQg&amp;index=7,34.48527209186221,MOZART HEROES Official ,69074,2066,63
18, xd0 xa3 xd0 xb4 xd0 xb8 xd0 xb2 xd0 xb8 xd1 x82 xd0 xb5 xd0 xbb xd1 x8c xd0 xbd xd1 x8b xd0 xb5 xd0,https://www.youtube.com/watch?v=z5-EEkgnvAY,35.72353647341289, xd0 x91 xd0 xbb xd0 xbe xd0 xb3 xd0 xa2 xd0 xbe xd1 x80 xd0 xb2 xd0 xb0 xd0 xbb xd1 x8c xd0 xb4 xd0 xb0,1517643,46059,3576
19,Light Of The Seven Game Of Thrones Feat Alina Lesnik Epic Rock Metal Cover YouTube,https://www.youtube.com/watch?v=u5uAy8oSsDU,37.33196010407632,Srod Almenara,860875,23522,462
20,Mozart for Summer YouTube,https://www.youtube.com/watch?v=u0y8OBdiQ9I,37.68376068376068,HALIDONMUSIC,13227,351,0
21,Muse Carmina Burana Carl Orff Swan Lake MOZART HEROES EP ON FIRE YouTube,https://www.youtube.com/watch?v=m8LG-ZRJmIc&amp;start_radio=1&amp;list=RDm8LG-ZRJmIc,38.55858930602958,MOZART HEROES Official ,135572,3599,83
22,Muse Carmina Burana Carl Orff Swan Lake MOZART HEROES EP ON FIRE YouTube,https://www.youtube.com/watch?v=m8LG-ZRJmIc,38.55858930602958,MOZART HEROES Official ,135572,3599,83
23,Muse Carmina Burana Carl Orff Swan Lake MOZART HEROES EP ON FIRE YouTube,https://www.youtube.com/watch?v=m8LG-ZRJmIc&amp;list=RDuK-ONxAPjQg&amp;index=2,38.5594425483504,MOZART HEROES Official ,135575,3599,83
24,SILENZIUM I Was Made For Lovin 39 You Kiss cover YouTube,https://www.youtube.com/watch?v=fRDP1a3DMBM,40.65659694096345,string trio SILENZIUM,853260,22522,1535
25,The Phantom of the Opera Prague Cello Quartet Official video YouTube,https://www.youtube.com/watch?v=qpbX7SbXOtU&amp;list=RDuK-ONxAPjQg&amp;index=18,41.58803640182009,Prague Cello Quartet,5940851,143999,1149
26,The Phantom of the Opera Prague Cello Quartet Official video YouTube,https://www.youtube.com/watch?v=qpbX7SbXOtU&amp;list=RDi_M7RTL71j4&amp;index=18,41.58803640182009,Prague Cello Quartet,5940851,143999,1149
27,The Phantom of the Opera Prague Cello Quartet Official video YouTube,https://www.youtube.com/watch?v=qpbX7SbXOtU,41.5890350539426,Prague Cello Quartet,5940453,143986,1149
28,ELDERS REACT TO PINK FLOYD SONGS YouTube,https://www.youtube.com/watch?v=X_hs1UFwSjQ,42.82852340863667,FBE,2828567,67138,1094
29,Tool Schism Orchestral Arrangement YouTube,https://www.youtube.com/watch?v=0vC1KTCgaME,43.66186055698203,Nick Proch,1326360,30822,444
30,Sweet Child O 39 Mine Symphonic Epic Symphonic Rock YouTube,https://www.youtube.com/watch?v=yc6cPlIoUEU,43.86715649016131,Epic Symphonic Rock,519431,12099,258
31,50 AC DC RIFFS YouTube,https://www.youtube.com/watch?v=d1JUO5VkS1Y,46.26156602381705,Andrea Boma Boccarusso,1316928,28915,448
32,History of Metal in One Song YouTube,https://www.youtube.com/watch?v=dun7KkHd1qA,47.07156982320691,gmcguitar,3975147,87350,2901
33,Bohemian Rhapsody for Symphony Orchestra and Solo Viola THE STUDIO RECORDING YouTube,https://www.youtube.com/watch?v=aCFnzSCzoYA,47.84588920378439,Nicholas Hersh,3393374,71714,791
34,Bohemian Rhapsody for Symphony Orchestra and Solo Viola THE STUDIO RECORDING YouTube,https://www.youtube.com/watch?v=aCFnzSCzoYA&amp;list=RDi_M7RTL71j4&amp;index=26,47.846636493098146,Nicholas Hersh,3393427,71714,791
35,Bohemian Rhapsody for Symphony Orchestra and Solo Viola THE STUDIO RECORDING YouTube,https://www.youtube.com/watch?v=aCFnzSCzoYA&amp;list=RDuK-ONxAPjQg&amp;index=25,47.846819790477,Nicholas Hersh,3393440,71714,791
36,Game of Thrones Bach MOZART HEROES Official Video MHovc2 YouTube,https://www.youtube.com/watch?v=ZpC_RRo903g&amp;list=RDZpC_RRo903g&amp;start_radio=1,48.05243752560426,MOZART HEROES Official ,117296,2473,32
37,Game of Thrones Bach MOZART HEROES Official Video MHovc2 YouTube,https://www.youtube.com/watch?v=ZpC_RRo903g&amp;list=RDuK-ONxAPjQg&amp;index=17,48.05243752560426,MOZART HEROES Official ,117296,2473,32
38,Game of Thrones Bach MOZART HEROES Official Video MHovc2 YouTube,https://www.youtube.com/watch?v=ZpC_RRo903g,48.05243752560426,MOZART HEROES Official ,117296,2473,32
39,The Storm YouTube,https://www.youtube.com/watch?v=ECZQUg6-TlU,48.70942408376963,The Divertissement,74428,1552,24
40,Beethoven Like You 39 ve Never Heard Before YouTube,https://www.youtube.com/watch?v=wbgInLJ81eY,48.8456494940327,Epic Music World,7211474,154359,6721
41,Inception Master Of Puppets Metallica MOZART HEROES EP ON FIRE YouTube,https://www.youtube.com/watch?v=ZtfXdnID-_Y&amp;list=RDZtfXdnID-_Y&amp;start_radio=1,49.32022471910113,MOZART HEROES Official ,26337,534,0
42,Inception Master Of Puppets Metallica MOZART HEROES EP ON FIRE YouTube,https://www.youtube.com/watch?v=ZtfXdnID-_Y&amp;list=RDuK-ONxAPjQg&amp;index=9,49.32022471910113,MOZART HEROES Official ,26337,534,0
43,Inception Master Of Puppets Metallica MOZART HEROES EP ON FIRE YouTube,https://www.youtube.com/watch?v=ZtfXdnID-_Y,49.32022471910113,MOZART HEROES Official ,26337,534,0
44,Nothing Else Matters Live YouTube,https://www.youtube.com/watch?v=w6S4d1hiDq8,49.6875,Mozart Heroes Topic,1590,32,0
45,G amp S The Witcher 3 Suite YouTube,https://www.youtube.com/watch?v=DzCq7Fjj9Z0,49.793593631539046,Games u0026Symphonies,525422,10758,206
46,Metallica Nothing else matters MOZART HEROES Unplugged MHups1 YouTube,https://www.youtube.com/watch?v=i_M7RTL71j4,50.050545408422124,MOZART HEROES Official ,789197,15951,183
47,Metallica Nothing else matters MOZART HEROES Unplugged MHups1 YouTube,https://www.youtube.com/watch?v=i_M7RTL71j4&amp;start_radio=1&amp;list=RDi_M7RTL71j4,50.050545408422124,MOZART HEROES Official ,789197,15951,183
48,Metallica Nothing else matters MOZART HEROES Unplugged MHups1 YouTube,https://www.youtube.com/watch?v=i_M7RTL71j4&amp;list=RDi_M7RTL71j4&amp;index=1,50.051433282597664,MOZART HEROES Official ,789211,15951,183
49,Metallica Nothing else matters MOZART HEROES Unplugged MHups1 YouTube,https://www.youtube.com/watch?v=i_M7RTL71j4&amp;list=RDuK-ONxAPjQg&amp;index=11,50.051433282597664,MOZART HEROES Official ,789211,15951,183
50,Bach Ghostbusters Jackson Medley MOZART HEROES EP ON FIRE YouTube,https://www.youtube.com/watch?v=uK-ONxAPjQg&amp;list=RDuK-ONxAPjQg&amp;start_radio=1,50.60909090909091,MOZART HEROES Official ,33402,660,0
51,Bach Ghostbusters Jackson Medley MOZART HEROES EP ON FIRE YouTube,https://www.youtube.com/watch?v=uK-ONxAPjQg,50.60909090909091,MOZART HEROES Official ,33402,660,0
52,Bach Ghostbusters Jackson Medley MOZART HEROES EP ON FIRE YouTube,https://www.youtube.com/watch?v=uK-ONxAPjQg&amp;list=RDuK-ONxAPjQg&amp;index=1,50.61212121212121,MOZART HEROES Official ,33404,660,0
53,Shipping Up To Boston Enter Sandman Bagpipe Cover Goddesses of Bagpipe YouTube,https://www.youtube.com/watch?v=HXm8JdC4k4c,51.15219373556753,TheSnakeCharmer,4319547,86897,2452
54,The Call Of Ktulu Warsaw Guitar Orchestra YouTube,https://www.youtube.com/watch?v=dndsJunKgaY,51.458936982387215,Igor Wardak,2305206,45913,1116
55,The Call Of Ktulu Warsaw Guitar Orchestra YouTube,https://www.youtube.com/watch?v=dndsJunKgaY&amp;start_radio=1&amp;list=RDdndsJunKgaY,51.4591378886979,Igor Wardak,2305215,45913,1116
56,Man loops his voice into spectacular song 39 Made 39 by Dub FX flv YouTube,https://www.youtube.com/watch?v=lvyDy15vW6U,51.71448388271401,Jeffrey Wells,2982426,58828,1157
57,Wintergatan Marble Machine music instrument using 2000 marbles YouTube,https://www.youtube.com/watch?v=IvUU8joBb1Q,53.016070234688186,Wintergatan,80248729,1536327,22659
58,Metallica Symphonic Medley For Whom The Bell Tols One Master of Puppets and more YouTube,https://www.youtube.com/watch?v=cBwB__WTSa8,53.02233375156838,Epic Symphonic Rock,633882,12169,214
59,Black Sabbath Symphonic Medley Children Of The Grave Iron Man Paranoid and a surprise YouTube,https://www.youtube.com/watch?v=2hO23I9Mdso,53.37215243772621,Epic Symphonic Rock,250689,4751,54
60,Avicii Hey Brother MOZART HEROES Live YouTube,https://www.youtube.com/watch?v=HY7HRob_KB8,53.67522123893805,MOZART HEROES Official ,60653,1140,10
61,Avicii Hey Brother MOZART HEROES Live YouTube,https://www.youtube.com/watch?v=HY7HRob_KB8&amp;list=RDuK-ONxAPjQg&amp;index=12,53.676991150442475,MOZART HEROES Official ,60655,1140,10
62,The Magic Flute Queen of the Night aria Mozart Diana Damrau The Royal Opera YouTube,https://www.youtube.com/watch?v=YuBeBjqKSGQ,54.274219284248915,Royal Opera House,1190505,22176,241
63,AC DC Thunderstruck Barrios MOZART HEROES OFFICIAL VIDEO YouTube,https://www.youtube.com/watch?v=gs4sDzgVKy8,54.936001475470306,MOZART HEROES Official ,297863,5543,121
64,AC DC Thunderstruck Barrios MOZART HEROES OFFICIAL VIDEO YouTube,https://www.youtube.com/watch?v=gs4sDzgVKy8&amp;start_radio=1&amp;list=RDgs4sDzgVKy8,54.936185909258576,MOZART HEROES Official ,297864,5543,121
65,AC DC Thunderstruck Barrios MOZART HEROES OFFICIAL VIDEO YouTube,https://www.youtube.com/watch?v=gs4sDzgVKy8&amp;list=RDuK-ONxAPjQg&amp;index=8,54.93673921062339,MOZART HEROES Official ,297867,5543,121
66,I See Fire Live YouTube,https://www.youtube.com/watch?v=nYogS4lFcDk,55.61538461538461,Mozart Heroes Topic,723,13,0
67,EFECTO MOZART documental xc2 xbfPor qu xc3 xa9 escuchar a Mozart YouTube,https://www.youtube.com/watch?v=cHvt1v1zLL8,56.35521885521886,Mozarlive Mozart channel,66950,1236,48
68,2CELLOS Despacito OFFICIAL VIDEO YouTube,https://www.youtube.com/watch?v=D9LrEXF3USs,56.41271961445101,2CELLOS,30281953,550140,13347
69,O Fortuna Uprising Tchaikovsky YouTube,https://www.youtube.com/watch?v=vulFfQJlqp8,56.785714285714285,Mozart Heroes Topic,795,14,0
70,Mutter Rammstein xd0 xa0 xd0 xbe xd0 xb7 xd1 x8b xd0 xb3 xd1 x80 xd1 x8b xd1 x88 xd0 xb4 xd0 xbe xd0,https://www.youtube.com/watch?v=EMJx5nzubpc,57.84733441905111, xd0 x90 xd0 xbd xd0 xb4 xd1 x80 xd0 xb5 xd0 xb9 xd0 x9b xd0 xb0 xd0 xbf xd1 x88 xd0 xb8 xd0 xbd,5363547,98109,5390
71,Johann Sebastian Bach Toccata amp Fugue in Dm by Sinfonity YouTube,https://www.youtube.com/watch?v=wqgQ7IYhvRg,57.97010511667205,SinfonityTV Guitar,2332775,41651,1410
72,Johann Sebastian Bach Toccata amp Fugue in Dm by Sinfonity YouTube,https://www.youtube.com/watch?v=wqgQ7IYhvRg&amp;list=RDwqgQ7IYhvRg&amp;start_radio=1,57.97027906861162,SinfonityTV Guitar,2332782,41651,1410
73,Johann Sebastian Bach Toccata amp Fugue in Dm by Sinfonity YouTube,https://www.youtube.com/watch?v=wqgQ7IYhvRg&amp;list=RDuK-ONxAPjQg&amp;index=20,57.970453020551176,SinfonityTV Guitar,2332789,41651,1410
74,Four Seasons with Sinfonity YouTube,https://www.youtube.com/watch?v=KRlZg90uUZ0,58.37489177489177,Daniel Stoica,67423,1179,24
75,AC DC Highway to hell MOZART HEROES Live YouTube,https://www.youtube.com/watch?v=U8j8bUky3fw,59.36256983240224,MOZART HEROES Official ,106259,1817,27
76,AC DC Highway to hell MOZART HEROES Live YouTube,https://www.youtube.com/watch?v=U8j8bUky3fw&amp;start_radio=1&amp;list=RDU8j8bUky3fw,59.36256983240224,MOZART HEROES Official ,106259,1817,27
77,AC DC Highway to hell MOZART HEROES Live YouTube,https://www.youtube.com/watch?v=U8j8bUky3fw&amp;list=RDuK-ONxAPjQg&amp;index=16,59.36312849162011,MOZART HEROES Official ,106260,1817,27
78,7 Riffs Que SUENAN IGUALES xc2 xbfPlagio o Coincidencia YouTube,https://www.youtube.com/watch?v=cVvGahch8Mg,60.593944202036226,Rolando Mora,458272,9739,2176
79,iron maiden Fear of The Dark The Number of The Beast Run to The Hills Symphonic Medley YouTube,https://www.youtube.com/watch?v=FS6a0NWI0do,60.796477120428875,Epic Symphonic Rock,2540320,43051,1267
80,iron maiden Fear of The Dark The Number of The Beast Run to The Hills Symphonic Medley YouTube,https://www.youtube.com/watch?v=FS6a0NWI0do&amp;list=RDuK-ONxAPjQg&amp;index=26,60.79748228987172,Epic Symphonic Rock,2540362,43051,1267
81,iron maiden Fear of The Dark The Number of The Beast Run to The Hills Symphonic Medley YouTube,https://www.youtube.com/watch?v=FS6a0NWI0do&amp;list=RDFS6a0NWI0do&amp;start_radio=1,60.79872196826461,Epic Symphonic Rock,2540353,43050,1267
82,iron maiden Fear of The Dark The Number of The Beast Run to The Hills Symphonic Medley YouTube,https://www.youtube.com/watch?v=FS6a0NWI0do&amp;list=RDi_M7RTL71j4&amp;index=8,60.798865567335994,Epic Symphonic Rock,2540359,43050,1267
83, xd0 x91 xd1 x80 xd0 xb5 xd1 x81 xd1 x82 xd1 x81 xd0 xba xd0 xb0 xd1 x8f quot xd0 xbc xd0 xbe xd0 xb,https://www.youtube.com/watch?v=KO0TQu4-neU,61.6, xd0 x92 xd0 xb0 xd0 xbb xd0 xb5 xd1 x80 xd0 xb8 xd0 xb9 xd0 x9c xd0 xb0 xd0 xbb xd0 xb5 xd0 xbd xd0 xbe xd0 xba,2156,35,0
84,James Bond Theme for Boomwhackers Fall 2014 YouTube,https://www.youtube.com/watch?v=EwK9IvF7N5s,62.693875100080064,HarvardTHUD,1566093,25644,664
85,Queen Last of the Mohicans Main Theme MOZART HEROES EP ON FIRE YouTube,https://www.youtube.com/watch?v=byo6L3HmsRo,62.836148648648646,MOZART HEROES Official ,74398,1240,56
