,Title,URL,Views,Likes,Dislikes,Score
0,Relaxing Jazz amp Bossa Nova Music Radio 24 7 Chill Out Piano amp Guitar Music Live Stream YouTube,https://www.youtube.com/watch?v=2ccaHpy5Ewo,1,68668,2652,1.5147842947164324e-05
1,ChillYourMind Radio xe2 x80 xa2 24 7 Music Live Stream Deep amp Tropical House Chill Music Dance Mus,https://www.youtube.com/watch?v=Av8XpCoF3T0,1,13979,590,7.468817686160281e-05
2,lewis watson tbt002 sink or swim x YouTube,https://www.youtube.com/watch?v=EkL0c_Oc2_w,12362,1265,0,9.772332015810276
3,Rain Beautiful Chill Mix YouTube,https://www.youtube.com/watch?v=xFahEXF2kzA,260,26,0,10.0
4,Jos xc3 xa9 Gonz xc3 xa1lez Stay Alive by Roo Panes COVERS YouTube,https://www.youtube.com/watch?v=BtdSUaHro7o,7192,657,0,10.946727549467276
5,Kodaline Brother Acoustic from streets of Warsaw YouTube,https://www.youtube.com/watch?v=HbYhMAI4tL4,1341677,57331,353,23.547281406858787
6,Kodaline I Wouldn 39 t Be Mahogany Session YouTube,https://www.youtube.com/watch?v=YcUm87oZCwg,104342,4304,15,24.327815341571462
7,Jacob Banks Peace of Mind amp Unknown To You A Take Away Show YouTube,https://www.youtube.com/watch?v=ftghg6q7yZw,85060,3413,36,25.188036718981344
8,Kodaline Ready To Change Mahogany Session YouTube,https://www.youtube.com/watch?v=iJOL_mmAWFo,123766,4786,28,26.012189995796554
9,Damien Rice amp Cantus Domus It Takes a Lot to Know a Man One To One YouTube,https://www.youtube.com/watch?v=BxWl-O19i-I,200182,7141,68,28.302276261840802
10,Jaz Karis You Do Mahogany Session YouTube,https://www.youtube.com/watch?v=AcqzE0HQPMs,27263,979,17,28.33991683991684
11,SYML Young And Beautiful Lana Del Rey Cover Mahogany Session YouTube,https://www.youtube.com/watch?v=OjlRXjYhkNU,47976,1649,46,29.928883343730504
12,Billie Eilish covers Michael Jackson 39 Bad 39 for Like A Version YouTube,https://www.youtube.com/watch?v=Pv6Rt2x6kPg,355504,12340,492,30.00540175557056
13,Jacob Banks Unknown To You xc2 xa0Majestic Sessions YouTube,https://www.youtube.com/watch?v=jLukr4rzDU4,260098,8723,90,30.128344723734507
14,Mikko Taylor plays Bach on a VVP Part 4 YouTube,https://www.youtube.com/watch?v=Z6W-1v6IqwY,1165,38,0,30.657894736842106
15,Manny Walters My Own Fault Sofar Cape Town YouTube,https://www.youtube.com/watch?v=TmLbBOpaiZs,404402,13175,91,30.908132069703456
16,Manny Walters My Own Fault Sofar Cape Town YouTube,https://www.youtube.com/watch?v=TmLbBOpaiZs&amp;index=13&amp;list=RDBb07cO7lX_0,404453,13176,91,30.909667558272833
17,Heartfelt Harmonies ft Keaton Henson Mahogany Compilation YouTube,https://www.youtube.com/watch?v=NGMO8lesZas,82371,2608,30,31.951512800620637
18,Allen Stone quot Upside quot Live at Brooklyn Bowl YouTube,https://www.youtube.com/watch?v=6z9jZIMTIis,1110,34,0,32.64705882352941
19,Daniel Caesar Performs quot Get You quot Here For The Music Fender YouTube,https://www.youtube.com/watch?v=aWB4gR_IvJ4,1663509,47100,248,35.50561342098523
20,Lewis Watson Maybe We 39 re Home Mahogany Session YouTube,https://www.youtube.com/watch?v=9egdg5j8iZ0,96008,2596,17,37.22683210546724
21,Winter Warmers ft Jack Johnson Mahogany Compilation YouTube,https://www.youtube.com/watch?v=EXpLkPc255g,105889,2753,48,39.1456561922366
22,Calum Scott Leona Lewis You Are The Reason Duet Version YouTube,https://www.youtube.com/watch?v=ByfFurjQDb0,7005210,167634,1587,42.188115413105926
23,Amber Run I Found ft London Contemporary Voices Mahogany Session YouTube,https://www.youtube.com/watch?v=WJnrgvivZ1E&amp;list=RDWJnrgvivZ1E,3169854,74183,435,42.98223680642187
24,Amber Run I Found ft London Contemporary Voices Mahogany Session YouTube,https://www.youtube.com/watch?v=WJnrgvivZ1E,3169854,74183,435,42.98223680642187
25,Gabrielle Aplin Stay Mahogany Session YouTube,https://www.youtube.com/watch?v=POwQagKtgdY,462495,10814,92,43.135142697257976
26, quot Gangsta 39 s Paradise quot Coolio live looping cover by Taylor Reed YouTube,https://www.youtube.com/watch?v=TBFO8DKpqCw,1084580,25958,847,43.19143005057545
27,Music For Your Soul ft Jacob Banks Mahogany Compilation YouTube,https://www.youtube.com/watch?v=Vq_PPPR96Zw,361927,8538,188,43.34455089820359
28,Gabrielle Aplin Stay Live piano version YouTube,https://www.youtube.com/watch?v=yFj7DJXemwU,286606,6506,65,44.49712777519019
29,Khalid Fast Car Tracy Chapman cover in the Live Lounge YouTube,https://www.youtube.com/watch?v=O8hm2Ml-pA8,1483535,34090,777,44.5332152613094
30,Beautiful Calm Acoustics ft Hozier Mahogany Compilation YouTube,https://www.youtube.com/watch?v=eWnaD0dvkVM&amp;list=RDeWnaD0dvkVM,837883,19010,329,44.8521492425459
31,Beautiful Calm Acoustics ft Hozier Mahogany Compilation YouTube,https://www.youtube.com/watch?v=eWnaD0dvkVM,837883,19010,329,44.8521492425459
32,Lewis Capaldi Lost On You Live YouTube,https://www.youtube.com/watch?v=PUZqMw4rkVs,5133512,114961,1191,45.121842313439394
33,Jacob Banks Unknown To You Audio YouTube,https://www.youtube.com/watch?v=Cz3Coxi9D3E,332041,7365,98,45.69161965047475
34,Lewis Watson Sink or Swim Tyne James Organ cover YouTube,https://www.youtube.com/watch?v=rXXIGldQv5E,40343,880,0,45.84431818181818
35,Sampha NPR Music Tiny Desk Concert YouTube,https://www.youtube.com/watch?v=fnIu25lXXY8,1117701,24335,198,46.306541823756056
36,MUNA I Know A Place Mahogany Session YouTube,https://www.youtube.com/watch?v=NZlu3aAhEsI,288563,6254,89,46.806650446066506
37,Ben l 39 Oncle Soul xc2 xab I 39 ve got you under my skin xc2 xbb Frank Sinatra cover YouTube,https://www.youtube.com/watch?v=oaddLBnHJSA&amp;index=23&amp;list=RDBb07cO7lX_0,976521,20649,277,47.93446887885333
38,Angus amp Julia Stone Snow Mahogany Session YouTube,https://www.youtube.com/watch?v=gnNO5AoBABw,117020,2465,30,48.05749486652977
39,Jacob Banks Part Time Love Mahogany Session YouTube,https://www.youtube.com/watch?v=WUjp41uaxMY,292422,6124,43,48.08781450419339
40,Hollow Coves Coastline Lakeside Acoustic Session YouTube,https://www.youtube.com/watch?v=Cp-1t9B62zc,1442125,29417,292,49.51502145922747
41,Beautiful Calm Acoustics ft Birdy Mahogany Compilation YouTube,https://www.youtube.com/watch?v=44u2nwORCLI,209570,4315,98,49.696466682475695
42,Jacob Banks Chainsmoking YouTube,https://www.youtube.com/watch?v=wjNxTyEZBMc,3881191,74585,1038,52.77157463934627
43,Vance Joy Call If You Need Me Official Video YouTube,https://www.youtube.com/watch?v=dQjTQFRZsD4,1417632,26858,439,53.65956319315644
44,Leon Bridges River Live at the Wiltern YouTube,https://www.youtube.com/watch?v=JbLYY4-qGgg,175381,3305,65,54.129938271604935
45,Vance Joy Riptide Large Noises YouTube,https://www.youtube.com/watch?v=ES_aFUIvBz0,2849372,52450,458,54.80404677642714
46,Honne It Ain 39 t Wrong Loving You ft House Gospel Choir Mahogany Session YouTube,https://www.youtube.com/watch?v=c1uYMXk7Zqk,184822,3369,24,55.25321375186846
47,Lewis Capaldi Bruises Live YouTube,https://www.youtube.com/watch?v=sB8n58FHBxw,2200393,40231,429,55.283478217175016
48,Sleeping At Last quot Saturn quot Official Music Video YouTube,https://www.youtube.com/watch?v=dzNvk80XY9s,10914517,197932,1617,55.5969589690039
49,Probably The Best Stevie Wonder Cover You 39 ll See YouTube,https://www.youtube.com/watch?v=zUtW2RzaBuI,3305549,60448,1075,55.674279554679735
50,Probably The Best Stevie Wonder Cover You 39 ll See YouTube,https://www.youtube.com/watch?v=zUtW2RzaBuI&amp;index=14&amp;list=RDBb07cO7lX_0,3305573,60448,1075,55.67468377882202
51,Gavin James Nervous YouTube,https://www.youtube.com/watch?v=WDBpu7LcR7s,2062246,37511,634,55.92228218130542
52,Gavin James Nervous Mahogany Session YouTube,https://www.youtube.com/watch?v=vavXNIr3Vo4,131435,2281,10,57.87538529282254
53,Imogen Heap Hide and Seek ft London Contemporary Voices Mahogany Live YouTube,https://www.youtube.com/watch?v=WDghE74HRWs,555760,9743,218,58.34750656167979
54,Aurora covers Massive Attack 39 Teardrop 39 for triple j 39 s Like A Version YouTube,https://www.youtube.com/watch?v=GPTY6l_PX5k,3607554,62503,1129,58.77984162674748
55,Jacob Banks Mercy A COLORS SHOW YouTube,https://www.youtube.com/watch?v=1HWdLbTi_zs,3211061,54689,490,59.24576099190022
56,How to Play Nextdoor Neighbor Blues by Gary Clark Jr YouTube,https://www.youtube.com/watch?v=eggpZ-l8YOc,19474,321,0,60.666666666666664
57,Jacob Banks Unknown To You Official Music Video YouTube,https://www.youtube.com/watch?v=i4Q9WRsAZeM,989168,16583,311,60.789577187807275
58,Allen Stone Where You 39 re At acoustic Sm xc3 xa5ll Sessions YouTube,https://www.youtube.com/watch?v=HKEmpX4jfJc,168302,2777,23,61.1118373275236
59,Gary Clark Jr Come Together Official Music Video From The Justice League Movie Soundtrack YouTube,https://www.youtube.com/watch?v=r7imYeuAfkg&amp;list=PLS74cHbzqvmseJHe15KhB0QXxILDMYY0d,6584730,109676,2075,61.19580673042072
60,Oh Wonder All We Do YouTube,https://www.youtube.com/watch?v=xPGREQvK-dQ,12058938,200664,3928,61.295024804814574
61,JP Cooper Wait Mahogany Session YouTube,https://www.youtube.com/watch?v=XNEiNgUwHDs,416182,6873,90,61.356626861270826
62,AURORA Little Boy In The Grass Mahogany Session YouTube,https://www.youtube.com/watch?v=1kiV704Nd_I,547542,9033,111,61.369872225958304
63,Allen Stone Voodoo acoustic Sm xc3 xa5ll Sessions YouTube,https://www.youtube.com/watch?v=xXt1G8gpvPY,41625,667,0,62.40629685157421
64,Kodaline quot Perfect World quot A Take Away Show YouTube,https://www.youtube.com/watch?v=Tcw4XBeOQig,119584,1843,0,64.88551275094954
65,RHODES BIRDY Let It All Go Mahogany Session YouTube,https://www.youtube.com/watch?v=ZpucBUIv28k,1400934,21571,143,65.37866343102483
66,RHODES BIRDY Let It All Go Mahogany Session YouTube,https://www.youtube.com/watch?v=ZpucBUIv28k&amp;list=RDZpucBUIv28k,1400940,21571,143,65.37894343849169
67,Better YouTube,https://www.youtube.com/watch?v=ByavVhl-Nig,6423,98,0,65.54081632653062
68,Tom Misch South Of The River Official Audio YouTube,https://www.youtube.com/watch?v=nEJk2FJJ18c,1529411,23573,302,65.72175669287955
69,Jimi Hendrix On An Acoustic Guitar Only known 2 videos RARE YouTube,https://www.youtube.com/watch?v=P701paKEMXs,873024,13258,206,66.88813974869751
70,Glass Animals cover Gnarls Barkley 39 Crazy 39 for Like A Version YouTube,https://www.youtube.com/watch?v=yNdl7wSzQ2I,1216026,18496,365,67.06888754067619
71,Lewis Watson What About Today Barn on the Farm Sessions mov YouTube,https://www.youtube.com/watch?v=IQARbrvKEwM,102677,1537,16,67.50624589086128
72,Vance Joy We 39 re Going Home Official Video YouTube,https://www.youtube.com/watch?v=qETfaJXx22g,2870125,42515,636,68.53375199980897
73,Jack Johnson Only The Ocean YouTube,https://www.youtube.com/watch?v=Vf76O7y-7pk,465239,6904,141,68.79180836906698
74,Samm Henshaw Let Me Hold You YouTube,https://www.youtube.com/watch?v=4hEPFvV_dAM,45836,661,10,70.40860215053763
75,Ed Sheeran Perfect Official Animated Video YouTube,https://www.youtube.com/watch?v=OmketaeA0m0,3772334,54834,1633,70.90720099246255
