,Title,URL,Views,Likes,Dislikes,Score
0, xef xbc xa3 xef xbc xa8 xef xbc xa9 xef xbc xac xef xbc xac xe3 x80 x80 xef xbc xb2 xef xbc xa1 xef,https://www.youtube.com/watch?v=8f3tfSSiIWk,1,27938,567,3.653501881553469e-05
1,Slime ASMR Most Satisfying Slime Video Crunchy Slime Iceberg Slime Jiggly Slime Rainbow Slime YouTub,https://www.youtube.com/watch?v=o3wfELIToFc,1,12198,1619,9.452689290103034e-05
2,MarI O AI playing Super Mario Bros YouTube,https://www.youtube.com/watch?v=iU4mf4lECZ0,1,835,121,0.0014005602240896359
3,Percentage Quiz For SBI CLERK IBPS SSC CHSL SSC CPO RRB ALP Group D Maths YouTube,https://www.youtube.com/watch?v=OpxAvTBV1a0,1,178,0,0.0056179775280898875
4, xe0 xa4 xac xe0 xa4 xbe xe0 xa4 x9c xe0 xa4 xbe xe0 xa4 xb0 xe0 xa4 x94 xe0 xa4 xb0 xe0 xa4 x97 xe0,https://www.youtube.com/watch?v=Meg4p0ph4Uo,1,141,18,0.008130081300813009
5,ANJUMAN TROPHY 2018 PRINCE MOVIES FINAL DAY YouTube,https://www.youtube.com/watch?v=hMXXdpCtQRs,1,82,13,0.014492753623188406
6,BREKETE FAMILY PROGRAMME FOR 9TH MARCH 2018 YouTube,https://www.youtube.com/watch?v=-q19s5nOFaU,1,14,0,0.07142857142857142
7,Radiolab Lost amp Found Lera Boroditsky Emilie Gossiaux Dr Giuseppe Iaria Karen Jacobsen YouTube,https://www.youtube.com/watch?v=W8-FdhA8aVI,60,3,0,20.0
8,SML Movie Cody 39 s 10th Birthday YouTube,https://www.youtube.com/watch?v=frjE3QzOsAA,487023,23183,403,21.379411764705882
9,Radiolab Radiolab Presents More Perfect Kittens Kick The Giggly Blue Robot All Summer YouTube,https://www.youtube.com/watch?v=N3qGPDB5zoM,193,9,0,21.444444444444443
10,Radiolab Secrets of Success Malcolm Gladwell YouTube,https://www.youtube.com/watch?v=CONFPulyq0I,179,8,0,22.375
