,Title,URL,Views,Likes,Dislikes,Score
0,I don 39 t want children stop telling me I 39 ll change my mind Christen Reighter YouTube,https://www.youtube.com/watch?v=A_xXC37CDSw,451949,32662,2537,15.00245643153527
1,Why I 39 m done trying to be quot man enough quot Justin Baldoni YouTube,https://www.youtube.com/watch?v=Cetg4gu0oQQ,602835,38205,2314,16.796272045916805
2,Being an Introvert is a Good Thing Crystal Robello TEDxStMaryCSSchool YouTube,https://www.youtube.com/watch?v=0oAJsPFH2wk,433635,15964,210,27.5253903770471
3,James Veitch Is A Terrible Roommate CONAN on TBS YouTube,https://www.youtube.com/watch?v=f5d8pVg3Qtg,6905368,247735,3178,28.23623122625809
4,I grew up in the Westboro Baptist Church Here 39 s why I left Megan Phelps Roper YouTube,https://www.youtube.com/watch?v=bVV2Zk88beY,3339421,111221,1931,30.555595205416783
5,Inside the mind of a master procrastinator Tim Urban YouTube,https://www.youtube.com/watch?v=arj7oStGLkU,11005724,347486,3264,31.972750143802546
6,10 Signs an Introvert Likes You YouTube,https://www.youtube.com/watch?v=UPcJx_VQYBU,4681737,149830,3756,32.05044703369525
7,Sex trafficking isn 39 t what you think it is Meghan Sobel TEDxMileHighWomen YouTube,https://www.youtube.com/watch?v=wyhF7q3_bpk,359831,9902,269,37.353991487594726
8,More adventures in replying to spam James Veitch YouTube,https://www.youtube.com/watch?v=C4Uc-cztsJo,9577092,259117,2808,37.36541440214741
9,I was abused as a child bride and this is what I learned Samra Zafar TEDxMississauga YouTube,https://www.youtube.com/watch?v=XPAG3I8P34k,512713,13860,216,37.57790970389915
10,I am the son of a terrorist Here 39 s how I chose peace Zak Ebrahim YouTube,https://www.youtube.com/watch?v=lyR-K2CZIHQ,1843643,49148,1059,38.338143858262804
11,Depression the secret we share Andrew Solomon YouTube,https://www.youtube.com/watch?v=-eBUcBfkVCo,2801098,71108,926,39.91191473597219
12,The agony of trying to unsubscribe James Veitch YouTube,https://www.youtube.com/watch?v=Dceyy0cX6J4,7618592,184183,1805,41.773634977903036
13,This is what happens when you reply to spam email James Veitch YouTube,https://www.youtube.com/watch?v=_QdPW8JrYzQ,20141052,481784,12084,42.8806727698531
14,How movies teach manhood Colin Stokes YouTube,https://www.youtube.com/watch?v=ueOqYebVhtc,1778109,45812,4971,43.53735217061286
