,Title,URL,Views,Likes,Dislikes,Score
0,NASA Live Earth From Space HDVR xe2 x99 xa5 ISS LIVE FEED AstronomyDay2018 Subscribe now YouTube,https://www.youtube.com/watch?v=RtU_mdL2vBM,1,1159439,60264,9.097732390201742e-07
1,YouTube,https://www.youtube.com/watch?v=meLbMg7ySU4,1,1,0,1.0
2,Tuesday Watchlist After 9k yesterday today I 39 m watching stocks 1 50 2 50 YouTube,https://www.youtube.com/watch?v=jvTM_8qEZfA,252,26,0,9.692307692307692
3,Perfectly Incomplete YOU ARE NOT PERFECT YouTube,https://www.youtube.com/watch?v=LUgdCkfD-4A,16053,1204,0,13.333056478405316
4,I don 39 t need you to watch EVERY video I make YouTube,https://www.youtube.com/watch?v=NEKxGA8xr1k,4613,336,0,13.729166666666666
5,Learning to Be a Friend to Yourself YouTube,https://www.youtube.com/watch?v=ERhTJaPaoxU&amp;list=PLwxNMb28XmpckOvZZ_AZjD7WM2p9-6NBv,113228,8272,194,14.016835850458035
6,Black Panther Symbolism Explained YouTube,https://www.youtube.com/watch?v=FjqOCOAGTHw,50155,3583,120,14.483107132544037
7,DANGER Don 39 t Confuse These 8 German Words YouTube,https://www.youtube.com/watch?v=ieXB3zm0wMw,31197,1951,33,16.265380604796665
8,The Importance of an Unhappy Adolescence YouTube,https://www.youtube.com/watch?v=zcUI1Hk0GRU,562160,33732,664,17.0001209628644
9,A Reason Not to Worry What Others Think YouTube,https://www.youtube.com/watch?v=X75Roe_davA,556442,30973,260,18.117474684986814
10,10 Ways to Be More Productive in 2018 YouTube,https://www.youtube.com/watch?v=jop-fO-yHx4,267721,14783,116,18.25328969796141
11,How to Study with INTENSE Focus 7 Essential Tips YouTube,https://www.youtube.com/watch?v=hP5TNI_2VRs,210703,10839,66,19.55843311983663
12,How to Stop Procrastinating The Pomodoro Technique YouTube,https://www.youtube.com/watch?v=H0k0TQfZGSc,325423,16273,84,20.101488665143
13,NIETZSCHE ON Amor Fati YouTube,https://www.youtube.com/watch?v=2Xzh1BjCA5Q,185541,8983,99,20.884849167041875
14,How to ACTUALLY Break Your Bad Habits YouTube,https://www.youtube.com/watch?v=pRxGLxYrSdE,236430,11239,95,21.215900933237616
15,Why xe2 x80 x98love xe2 x80 x99 is a useless word xe2 x80 x93 and three alternatives YouTube,https://www.youtube.com/watch?v=dQS9g9JFI08,1114527,52896,1036,21.49107211723872
16,How to Lose the Fear of Being an Idiot YouTube,https://www.youtube.com/watch?v=RpXLpfMWrlY,170964,7912,90,21.85681411403733
17,Why Nietzsche 39 s philosophy is bastardised YouTube,https://www.youtube.com/watch?v=a2dQ64iVp6I,162181,7705,351,22.053440304596137
18,Why We Feel Lonely and Odd YouTube,https://www.youtube.com/watch?v=ypXwioZXUrE,363110,16028,207,22.951140888692244
19,Why We xe2 x80 x99re Fated to be Lonely YouTube,https://www.youtube.com/watch?v=AtCR6P5rsXU,1044359,46029,683,23.03089577912054
20,What Is an Emotionally healthy Childhood YouTube,https://www.youtube.com/watch?v=hnWJpAMpEvo,180954,7959,135,23.128067484662576
21,The Dangers of the Good Child YouTube,https://www.youtube.com/watch?v=5DTIzzf6ncg,960638,42083,1121,23.451931058053805
22,What is BTA YouTube,https://www.youtube.com/watch?v=BsY8bmTUVP8,8354,369,15,23.598870056497177
23,Why You Will Marry the Wrong Person YouTube,https://www.youtube.com/watch?v=-EvvPZFdjyk,362654,15437,292,23.945460548035655
24,Top 10 39 s Who Should We Profile NEXT Vote on This Video YouTube,https://www.youtube.com/watch?v=0arZb0xLIDM,6500,269,0,24.1635687732342
25,HOW TO BE ASSERTIVE LIKE THE ALPHA YouTube,https://www.youtube.com/watch?v=wEOiAzdx21M,50208,2098,27,24.243360695316273
26,How To Get Respect Without Being A Bully Jordan Peterson YouTube,https://www.youtube.com/watch?v=hsQLksbfDSo,816096,33910,812,24.656958124357967
27,12 Smart Psychological Tips You 39 d Better Learn YouTube,https://www.youtube.com/watch?v=Szahr27ReQo,1689716,70019,1817,24.775167883639774
28,Philosophical Meditation YouTube,https://www.youtube.com/watch?v=3VJI0ecVO6c,394793,16109,186,24.793883062237015
29,The Problem With Our Phones YouTube,https://www.youtube.com/watch?v=LDcm6twPEJA,497648,20731,725,24.874937518744378
30,The Seven Deadly Sins YouTube,https://www.youtube.com/watch?v=tMjF_100onI,1631920,67469,1932,24.900743091688664
31,How to Sell A Product Sell Anything to Anyone with The 4 P 39 s Method YouTube,https://www.youtube.com/watch?v=UCo3Z-y72Kg,1548534,64113,2235,25.025598758848055
32,HOW TO UNLEASH UNSTOPPABLE CHARISMA YouTube,https://www.youtube.com/watch?v=leyd52xgviA,62224,2523,38,25.039839034205233
33,Why Humanity Destroyed Itself YouTube,https://www.youtube.com/watch?v=Yk3QsGzAjKI,880593,37091,2169,25.215995647442874
34,DESTROY DO NOT WOUND The Prince by Niccolo Machiavelli YouTube,https://www.youtube.com/watch?v=pt3gBBXeyFU,13165,515,0,25.563106796116504
35,5 Common Phrases That Kill Your Charisma YouTube,https://www.youtube.com/watch?v=hj3j2jPcnKk,622829,24882,541,25.587650466291443
36,The Advantages of Being 39 just Good Friends 39 YouTube,https://www.youtube.com/watch?v=yP88kT6ZvwA&amp;list=PLwxNMb28XmpcEwc0qydf2jSszQFSht81E,288280,11703,540,25.824599122099794
37,The Advantages of Being 39 just Good Friends 39 YouTube,https://www.youtube.com/watch?v=yP88kT6ZvwA,288301,11703,540,25.826480336827018
38,The Origins of Suicide YouTube,https://www.youtube.com/watch?v=fhdsaep40fU,246520,9702,187,25.90856542301629
39,Why Truly Sociable People Hate Parties YouTube,https://www.youtube.com/watch?v=IQpQVOPokhk,304406,12013,275,25.93337876980746
40,Why Socrates Hated Democracy YouTube,https://www.youtube.com/watch?v=fLJBzhcSWTk,2667984,105253,3287,26.16542769158347
41,How to Be as Productive as Elon Musk 5 Essential Practices YouTube,https://www.youtube.com/watch?v=q4cjNYGUaoA,650350,25439,644,26.229078443234524
42,Life Lessons From 100 Year Olds YouTube,https://www.youtube.com/watch?v=9AThycGCakk,6501138,249435,2408,26.317519947212247
43,On Feeling Depressed YouTube,https://www.youtube.com/watch?v=UoLWYhwROBI,732051,27892,467,26.692835004557885
44,How to Help Those We Love YouTube,https://www.youtube.com/watch?v=bY3As3lKMno,478632,18000,124,26.7751174759454
45,11 Secrets to Memorize Things Quicker Than Others YouTube,https://www.youtube.com/watch?v=mHdy1xS59xA,5407759,204043,3859,27.013942173200654
46,How to Read ANYONE Instantly YouTube,https://www.youtube.com/watch?v=3iyk8TOlOUo,805331,30157,528,27.180498835600257
47,George Orwell and 1984 How Freedom Dies YouTube,https://www.youtube.com/watch?v=37N0aFmO19o,149864,5582,189,27.78861487112924
48,The Dangers of Thinking Too Much And Thinking Too Little YouTube,https://www.youtube.com/watch?v=p5zLY3Wi8Uk,426916,15584,307,27.945015382601294
49,How Emotionally Healthy Are You YouTube,https://www.youtube.com/watch?v=petg12b36UA,832698,30164,476,28.048302344381568
50,Seven Questions to Restart Love YouTube,https://www.youtube.com/watch?v=DI9UK9r7CQY,609993,22062,473,28.254805688081895
51,How to Be Charming When Talking About Yourself YouTube,https://www.youtube.com/watch?v=ldmPgQZ52Ec,574937,20348,405,28.829012686155544
52,Keep Going YouTube,https://www.youtube.com/watch?v=c1H92b_uLdU,397706,13839,81,28.907253961331588
53,The Dangers Of Being Dutiful YouTube,https://www.youtube.com/watch?v=FTBEb-W6Xgo,562248,19879,442,28.926686217008797
54,Why Love Is Never As Nice As It Should Be YouTube,https://www.youtube.com/watch?v=X7hKC01e-NQ,1195590,41933,802,29.067856361381924
55,4 Easy Ways To Make Small Talk With Anyone YouTube,https://www.youtube.com/watch?v=xmx07H3sn1w,332113,11555,217,29.292026812488974
56,How to Have a Good Conversation YouTube,https://www.youtube.com/watch?v=iEg5_MaxFPo,704296,24290,329,29.393430992028712
57,How to be a Friend to Yourself YouTube,https://www.youtube.com/watch?v=wFUxiIjp-Nk,760576,26057,264,29.48769045865157
58,HOW TO NEVER BE AWKWARD AGAIN YouTube,https://www.youtube.com/watch?v=sASDTBXs-p4,132612,4607,111,29.495551601423486
59,Things It xe2 x80 x99s Best to Say in Latin YouTube,https://www.youtube.com/watch?v=TaUkjl-VHig,449577,15855,706,29.677008383391644
60,How To Be A Man YouTube,https://www.youtube.com/watch?v=lshzZhHAYIs,964097,33967,1752,29.926959490920378
61,HOW TO START CONVERSATIONS LIKE A BOSS YouTube,https://www.youtube.com/watch?v=exlrueGhOYk,90661,3097,85,30.099933598937582
62,How to Stop Being TIRED All the Time YouTube,https://www.youtube.com/watch?v=HmZs6_CJ_u8,1432643,48661,1220,30.198414873210936
63,How To Be Confident YouTube,https://www.youtube.com/watch?v=0Tk82hEHNnY,1687146,56385,695,30.295313341713054
64, quot Do Not ACCEPT The UNACCEPTABLE quot Iyanla Vanzant IyanlaVanzant Top 10 Rules YouTube,https://www.youtube.com/watch?v=VzJWTPfvMKs,45655,1534,35,30.456971314209472
65,Why We Pick Difficult Partners YouTube,https://www.youtube.com/watch?v=Hvysy11716g,1993427,66871,1960,30.710156984178337
66,How Hollywood Gets Nietzsche Wrong YouTube,https://www.youtube.com/watch?v=ti9zdpLlXf0,639756,21623,878,30.839045553145336
67, quot FOCUS on Where You WANT to GO quot Tony Robbins TonyRobbins Entspresso YouTube,https://www.youtube.com/watch?v=3lilPoGyN5o,26530,874,14,30.848837209302324
68,How to Get Hired A Look Inside the Decision Maker 39 s Head YouTube,https://www.youtube.com/watch?v=iYWBzU75EyA,4302,139,0,30.949640287769785
69,how to ALWAYS win an argument YouTube,https://www.youtube.com/watch?v=6XF0AxT_pyw,817871,27755,1368,30.99522492136279
70,What Your Home Says About You YouTube,https://www.youtube.com/watch?v=HY-E7l_Gfe4,266174,8834,251,31.011767447279507
71,Geography Now Germany YouTube,https://www.youtube.com/watch?v=wuClZjOdT30,2012584,66474,1729,31.08477874739362
72,Success at School vs Success in Life YouTube,https://www.youtube.com/watch?v=-Egxm5QuW9o,1652268,54460,1664,31.295325403439655
73,Are Intelligent People More Lonely YouTube,https://www.youtube.com/watch?v=0lXX3dJUAGY,747467,24737,883,31.33508007042844
74,Why AGGRESSIVE SOUNDING German Words are the MOST AWESOME YouTube,https://www.youtube.com/watch?v=WIVYe4r-OzE,253733,8770,718,31.511798310978637
75,WHY Porn Changes the Brain Science of NoFap SFW YouTube,https://www.youtube.com/watch?v=DclqE-9vFgY,295400,9565,238,31.671491369143347
76,Inside the mind of a master procrastinator Tim Urban YouTube,https://www.youtube.com/watch?v=arj7oStGLkU,11008365,347556,3266,31.974106131458946
77,Why Hegel knew there would be days like these YouTube,https://www.youtube.com/watch?v=q54VyCpXDH8,423177,13668,451,32.01762881137928
78,How to Make a Decision YouTube,https://www.youtube.com/watch?v=okdsAZUTJ94,263844,8365,163,32.16825164594002
79,How to Make an Attractive City YouTube,https://www.youtube.com/watch?v=Hy4QjmKzF1c,1321213,42747,1945,32.38108426057546
80,The Real Reasons Good People Fail Robin Sharma YouTube,https://www.youtube.com/watch?v=k8jUMER89CY,131427,4142,97,32.49122373300371
81,How to manage your time more effectively according to machines Brian Christian YouTube,https://www.youtube.com/watch?v=iDbdXTMnOmE,1100921,34596,720,32.49855354823474
