,Title,URL,Views,Likes,Dislikes,Score
0,1 GIRL 15 VOICES Adele Ellie Goulding Celine Dion and 12 more YouTube,https://www.youtube.com/watch?v=Mv0SqWy02Xs,25935826,703121,31627,38.624062165857026
1,Musical Genre Challenge with Jamie Foxx YouTube,https://www.youtube.com/watch?v=MOVOaGbbsTs,9376081,238739,1878,39.58473957299851
2,Sesame Street Puppeteers Explain How They Control Their Puppets WIRED YouTube,https://www.youtube.com/watch?v=2pVHOaT9CZ4,944854,22800,257,41.91340992769374
3,Spill Your Guts or Fill Your Guts w Gordon Ramsay YouTube,https://www.youtube.com/watch?v=pCjY3ZQY8WY,8424669,199724,3438,42.920376389554015
4,Better Then Better Now Riff Off w Shawn Mendes amp The Filharmonic YouTube,https://www.youtube.com/watch?v=430SEckuS28,21119052,490758,3015,43.2995491478094
5, quot Ew quot with John Cena YouTube,https://www.youtube.com/watch?v=aGl-1nwahCA,5193494,119781,3993,44.85347358966387
6,Wheel of Musical Impressions with Alessia Cara YouTube,https://www.youtube.com/watch?v=2OFKM2G-dE8,24346071,538614,4812,45.608804388143916
7,The Cast of Sesame Street Reads Famous Movie Quotes Vanity Fair YouTube,https://www.youtube.com/watch?v=Kath8ZIE9Kk,680717,14735,332,47.26216760397139
8,Drop the Mic w Cara Delevingne amp Dave Franco YouTube,https://www.youtube.com/watch?v=_Uh-f-eEudc,27253619,512854,4305,53.590940106066476
9,Divas Riff Off w Demi Lovato YouTube,https://www.youtube.com/watch?v=hsB9bQdueG4,13584746,256057,3919,53.87821748407618
10,Kids Describe Their Parents to an Illustrator Kids Describe HiHo Kids YouTube,https://www.youtube.com/watch?v=WP3vyZDxOz4,7305433,133378,1370,55.340835403914916
11,Priyanka Chopra and Jimmy Celebrate Holi with a Messy Paint Fight YouTube,https://www.youtube.com/watch?v=NYvO9m0zoMQ,2502053,45309,910,56.35381427509628
12,Musical Genre Challenge with Miley Cyrus YouTube,https://www.youtube.com/watch?v=_DqlM9kWNMQ,17783444,314626,6956,57.800383527805764
13,Hawkeye Sings About His Super Powers Ed Sheeran quot Thinking Out Loud quot Parody YouTube,https://www.youtube.com/watch?v=aQ27iS1mkuo,17563307,301767,2319,58.652276856081855
14,Josh Gad Can 39 t Turn Off 39 Olaf 39 Voice YouTube,https://www.youtube.com/watch?v=MaKwl9guT1I,1988349,32584,552,62.073832417582416
15,Selena Gomez Carpool Karaoke YouTube,https://www.youtube.com/watch?v=mNcdlLIOdNw,83663389,1357325,34744,63.257667394284354
