,Title,URL,Views,Likes,Dislikes,Score
0,24 7 lofi hip hop radio smooth beats to study sleep relax YouTube,https://www.youtube.com/watch?v=2L9vFNMvIBE,1,123822,3006,8.277049397430804e-06
1,College Music xc2 xb7 24 7 Live Radio xc2 xb7 Study Music xc2 xb7 Chill Music xc2 xb7 Calming Music ,https://www.youtube.com/watch?v=gmv54pfxk0Q,1,57309,1984,1.8075011296882062e-05
2,The Good Life Radio xe2 x80 xa2 Weekend Radio Deep amp Tropical House Chill Music EDM YouTube,https://www.youtube.com/watch?v=ftJYyevC6Us,1,56791,3074,1.8616080570396708e-05
3,24 7 lofi hip hop radio beats to study chill relax YouTube,https://www.youtube.com/watch?v=6rReMbO42uE,1,53067,1152,1.9262255610131947e-05
4,NCS 24 7 Live Stream xf0 x9f x8e xb5 Gaming Music Radio NoCopyrightSounds Dubstep Trap EDM Electro H,https://www.youtube.com/watch?v=GVC5adzPpiE,1,38652,1468,2.689328743545611e-05
5,Progressive House xc2 xb7 Relaxing Focus Music xc2 xb7 24 7 Live Radio YouTube,https://www.youtube.com/watch?v=xcoac7I-J8M,1,21014,939,4.9813200498132005e-05
6,Just Good Music xe2 x97 x8f 24 7 Live Radio xf0 x9f x8e xa7 Classic Edition YouTube,https://www.youtube.com/watch?v=1OfoS6u_8N4,1,17438,1268,6.184291898577613e-05
7, xef xbc xa3 xef xbc xa1 xef xbc xac xef xbc xad xe3 x80 x80 xef xbc xb2 xef xbc xa1 xef xbc xa4 xef,https://www.youtube.com/watch?v=fxn8p26WTR4,1,15340,243,6.623832549513148e-05
8,Good Vibes Radio xe2 x9c xa7 24 7 Chill Electronic Music xe2 x9c xa7 Just Good Music xe2 x9c xa7 You,https://www.youtube.com/watch?v=__GmhW9nEtY,1,12397,469,8.383635144198524e-05
9,ChillYourMind Radio xe2 x80 xa2 24 7 Music Live Stream Deep amp Tropical House Chill Music Dance Mus,https://www.youtube.com/watch?v=Av8XpCoF3T0,1,11231,451,9.276437847866419e-05
10,lofi hip hop radio relaxing beats to study chill sleep to YouTube,https://www.youtube.com/watch?v=RBM8Dp0Zhog,1,9110,324,0.00011381743683132256
11,Instinct Radio 24 7 Music Live Stream xe2 x97 x8f Chill Relax Pop Dance Music YouTube,https://www.youtube.com/watch?v=-rWPZtM1eRs,1,7246,124,0.00014040999719180006
12,Just Good Minimal Techno Music xe2 x97 x8f 24 7 Live Radio xf0 x9f x8e xa7 Deep amp Chill Out YouTub,https://www.youtube.com/watch?v=kOwMEJZtWuI,1,6027,196,0.0001714971702966901
13,Deep House xc2 xb7 Relaxing Study Music xc2 xb7 24 7 Live Radio YouTube,https://www.youtube.com/watch?v=z6NUZMeeCdM,1,5914,256,0.00017674089784376105
14, xe2 x96 xb6 xef xb8 x8f WORK amp STUDY JAZZ Music Radio 247 Live Stream Relaxing Jazz For A Success,https://www.youtube.com/watch?v=vmY6qBbrhU0,1,4628,220,0.00022686025408348456
15,24 7 Noisy Sounds Live Radio Best Of Vocal Deep House Chill House amp Future House Music Mix 2018 Yo,https://www.youtube.com/watch?v=WEU6hOah9dk,1,2775,199,0.00038819875776397513
16, xe1 x83 xa6 Kawaii Radio Happy Music to Study Relax xe3 x80 x8c24 7 xe3 x80 x8d Kawaii Music LiveSt,https://www.youtube.com/watch?v=4zAmGOYVt6w,1,2100,54,0.0004887585532746823
17,Aviencloud Radio xe2 x80 x93 24 7 Live Stream Indigo Soul Chill LoFi Rap Future Bass Unique Vibes xe,https://www.youtube.com/watch?v=hHzX83H1lfw,1,1775,23,0.0005707762557077625
18,Chillhop Cafe 24 7 xf0 x9f x8e xa7 jazzhop chillhop lofi hip hop for Work amp Relaxing YouTube,https://www.youtube.com/watch?v=S91r9eITg08,1,1674,54,0.0006172839506172839
19, xf0 x9f x92 x98 24 7 lofi hip hop radio chill music to sleep amp study YouTube,https://www.youtube.com/watch?v=lPS0T9c_JPg,1,1335,32,0.0007674597083653108
