,Title,URL,Views,Likes,Dislikes,Score
0,5 Strangest Medical Conditions YouTube,https://www.youtube.com/watch?v=bkInRU1W7W8,609936,867,876,-67770.66666666667
1,The Soldiers of Odin Inside Canada 39 s Extremist Vigilante Group YouTube,https://www.youtube.com/watch?v=F9NdN4a6D_g,1034221,5544,8673,-330.52764461489295
2,Jake Paul Plans To Be Youtube 39 s First Billionaire HBO YouTube,https://www.youtube.com/watch?v=5ZV2x2fpdpg,860115,3809,29576,-33.380486668995225
3,Relaxing Aquarium 24 7 xf0 x9f x90 x9f xf0 x9f x90 xa0 Relax Study Chill Sleep Meditation Music Rela,https://www.youtube.com/watch?v=c25OatSVic0,1,1345,65,0.00078125
4,LIVE Wild Discovery Animals Craziest Animal Fights Caught On Camera Animal Documentary BBC 2018 YouT,https://www.youtube.com/watch?v=uIPVGsAjZ6U,1,78,0,0.01282051282051282
5,Did Poop Defeat The Soviet Union Fact Wars Ep20 YouTube,https://www.youtube.com/watch?v=LlH3GzcnPMg,34468,1763,26,19.843408175014392
6,OVERNIGHT AT SUICIDE FOREST Warning Incredibly Scary YouTube,https://www.youtube.com/watch?v=DdRtkv-NBpY,12194646,545115,21643,23.29569871932023
7,Ill xd0 xb5gally Entering North Korea 2018 Documentary YouTube,https://www.youtube.com/watch?v=dgmZR-F1XIU,1866898,83190,11300,25.968813465015998
8,Law Student Sent To Ex Gay Therapy Puts Counselor to Shame YouTube,https://www.youtube.com/watch?v=ZDipt48sVyo,1884813,56076,2024,34.87036557389181
9,I Tried Medical Marijuana For My Chronic Pain YouTube,https://www.youtube.com/watch?v=05jEknLDEoI,6050900,175992,6914,35.787624646612805
10,OHIO 39 S MOST HATED ARNOLD CLASSIC 2018 DAY IN A LIFE YouTube,https://www.youtube.com/watch?v=yND7f5rt2C8,41689,1163,64,37.93357597816197
11,A Scientist Spilled 2 Drops Organic Mercury On Her Hand This Is What Happened To Her Brain YouTube,https://www.youtube.com/watch?v=NJ7M01jV058,4981304,126415,6048,41.38429968346806
12,On Patrol with South Korea 39 s Suicide Rescue Team YouTube,https://www.youtube.com/watch?v=5jYBWBlEd0U,3787052,80386,909,47.64965964996163
13,Tardigrades Adorable Extremophiles YouTube,https://www.youtube.com/watch?v=6H0E77TdYnY,1155819,24123,188,48.289910173386254
14,Why This Gun Could Change Everything YouTube,https://www.youtube.com/watch?v=8WKMx6aTm68,5679389,119646,4597,49.364957539830854
15,Canada 39 s Original Vigilante Pedophile Hunter YouTube,https://www.youtube.com/watch?v=rJU_LvwL-Kc,3980182,79988,4006,52.383222342133664
16,What Is A Water Bear YouTube,https://www.youtube.com/watch?v=mkom1gCkovU,732947,14061,325,53.35956610366919
17,Erotic amp Illegal Tattoos of Japan NEEDLES amp PINS Full Episode YouTube,https://www.youtube.com/watch?v=EYOdDpJt9Ww,170556,3721,538,53.583411875589064
18,EXPLORING Suicide Forest Aokigahara Japan xe9 x9d x92 xe6 x9c xa8 xe3 x83 xb6 xe5 x8e x9f YouTube,https://www.youtube.com/watch?v=xRJuROs1MoU,7407137,126194,5891,61.57067571049766
19,What It 39 s Like to Make Art on DMT YouTube,https://www.youtube.com/watch?v=4ONm-r1d2Mg,660158,11085,430,61.95757860159549
20,What We Know about Pot in 2017 YouTube,https://www.youtube.com/watch?v=yewlM8CtbQU,1493497,25450,1448,62.22385634530456
21,Tattoos You BETTER NOT Have In Prison YouTube,https://www.youtube.com/watch?v=VYS8w5_CpWw,639285,11591,1434,62.94033671359654
22,These Ancient Relics Are So Advanced They Shouldn 39 t Exist YouTube,https://www.youtube.com/watch?v=SAsWFgpvYhA,4009160,68954,5759,63.44109502334045
23,10 Living Things That Shouldn xe2 x80 x99t Exist But Do YouTube,https://www.youtube.com/watch?v=fRqUVT61cI4,512149,8426,456,64.25959849435382
24,How Mental Illness Derailed the Career of a Promising Young Skateboarder YouTube,https://www.youtube.com/watch?v=d09soDoUvaw,2915401,44739,876,66.46606479264985
25,10 Diseases That Could Wipe Out Humanity YouTube,https://www.youtube.com/watch?v=jqdvxA_d1rc,504649,7817,361,67.68361051502146
26,Travel INSIDE a Black Hole YouTube,https://www.youtube.com/watch?v=3pAnRKD4raY,19747430,279261,5252,72.068545193771
27,NOISEY Blackpool The Controversial Rise of Blackpool Grime Full Length YouTube,https://www.youtube.com/watch?v=AXFQsnbN0NQ,5258037,79144,6584,72.46467750826902
28,DIY Gunshot Treatment on Chicago xe2 x80 x99s South Side YouTube,https://www.youtube.com/watch?v=LPAt8MJhPx8,457925,6742,513,73.51501043506181
29,The Nepalese Honey That Makes People Hallucinate YouTube,https://www.youtube.com/watch?v=wDOvmhqvIA8,3340019,45713,895,74.52405283591415
30,10 Insane Things Smuggled Through Airport Security YouTube,https://www.youtube.com/watch?v=WIz7q7zp6OU,352175,4724,149,76.97814207650273
31, 39 How To Be A Russian Oligarch 39 With Billionaire Mikhail Prokhorov YouTube,https://www.youtube.com/watch?v=Q5YJ7mh8zWc,3826599,52080,3456,78.69774185587364
32,Undercover Cop Tricks Autistic Student into Selling Him Weed Full Length YouTube,https://www.youtube.com/watch?v=8af0QPhJ22s,5024785,66212,3050,79.5539248282195
33,10 Strange Unexplained Internet Videos YouTube,https://www.youtube.com/watch?v=8lUtX6ZnJ_Q,1219865,15789,970,82.31763276874283
34,Underground Street Racers Smoke Show EP1 YouTube,https://www.youtube.com/watch?v=D8AFm78Bi88,1346507,17340,1205,83.45255655407499
35,The Experimental Ketamine Cure for Depression YouTube,https://www.youtube.com/watch?v=PAfLnXFIENk,897074,11046,357,83.92496959491065
36,Nepal Documentary Living on a Dollar a Day YouTube,https://www.youtube.com/watch?v=on-0PYf-m9s,1146798,14292,630,83.9407114624506
37,2 Chainz Samples 10 000 Air In A Can YouTube,https://www.youtube.com/watch?v=piQobLkLRMk,4706106,59325,3606,84.46142249501965
38,Life of a Kumari Goddess The Young Girls Whose Feet Never Touch Ground YouTube,https://www.youtube.com/watch?v=A7gLC4l5Nmo,4198886,51635,2944,86.23536177116921
39,Christ Bearer The Rapper Who Cut His Penis Off YouTube,https://www.youtube.com/watch?v=BeSlrnnBtqs,38683,472,25,86.53914988814317
40,Inside the Superhuman World of the Iceman YouTube,https://www.youtube.com/watch?v=VaMjhwFE1Zw,3190509,35354,561,91.69973845313713
41,HD The Drug Trial that went terribly wrong YouTube,https://www.youtube.com/watch?v=hNB5O-EGbmA,2189081,24654,1038,92.69482554200542
42,10 Myths You still Believe About WW2 YouTube,https://www.youtube.com/watch?v=i3w_eoL3XD8,700319,10809,3292,93.16469336171345
43,The Mysterious Mr McAfee YouTube,https://www.youtube.com/watch?v=1yZ38t6IBdA,112669,1295,87,93.26903973509934
44,The Real Saul Goodman from 39 Breaking Bad 39 and 39 Better Call Saul 39 YouTube,https://www.youtube.com/watch?v=NAVsBfOjc4c,1297125,14271,513,94.28150894025295
