,Title,URL,Views,Likes,Dislikes,Score
0,Taylor Swift Delicate YouTube,https://www.youtube.com/watch?v=tCXGJQYZ9JA,50756650,1742968,100287,30.898665048174294
1,Jidenna Bambi Live from YouTube at SXSW 2017 YouTube,https://www.youtube.com/watch?v=gSchXK9mN0g,249123,5920,139,43.09340944473274
2,Jidenna NPR Music Tiny Desk Concert YouTube,https://www.youtube.com/watch?v=h-_YEiac55s,523606,12295,237,43.423950903964176
3,Dua Lipa IDGAF ft Charli XCX Zara Larsson M xc3 x98 Alma in the Live Lounge YouTube,https://www.youtube.com/watch?v=k1xvol1SCx8,12234178,268334,3318,46.16392217828358
4,Imagine UNICEF World Version YouTube,https://www.youtube.com/watch?v=L7IP4UlXvG8,4712887,101490,1343,47.05969225238899
5,Jidenna on 39 The Chief 39 Dating and His Polygamous Past Digital Originals YouTube,https://www.youtube.com/watch?v=dOD7YQMBCjs,131163,2818,34,47.113146551724135
6,I Copied Ariana Grande 39 s Instagram For a Week YouTube,https://www.youtube.com/watch?v=pvFj9X-ABtM,541569,11914,654,48.09671403197158
7,We Are The World 25 Haiti REACTION YouTube,https://www.youtube.com/watch?v=UKRzNA1Wh8c,20549,413,0,49.75544794188862
8,Drake God xe2 x80 x99s Plan YouTube,https://www.youtube.com/watch?v=xpVfcZ0ZcFM,219833448,4451937,104006,50.56047301578613
9,Jidenna Freestyles On Flex Freestyle 016 YouTube,https://www.youtube.com/watch?v=vKAG4zc4kvw,1162746,20987,260,56.098132870169344
10,Bruno Mars and Cardi B Finesse LIVE From The 60th GRAMMYs xc2 xae YouTube,https://www.youtube.com/watch?v=6OcOO1k-vGE,24938035,450393,19573,57.88504479829163
11,Halsey Hurricane Vevo dscvr Live YouTube,https://www.youtube.com/watch?v=RH4fHNipaEk,2730148,47044,580,58.75835055096419
12,Jidenna Chief Don 39 t Run Live Vevo LIFT YouTube,https://www.youtube.com/watch?v=WEj6Ktkae5s,142580,2473,110,60.33855268726195
13,The Weeknd Kendrick Lamar Pray For Me Lyric Video YouTube,https://www.youtube.com/watch?v=XR7Ev14vUh8,31947970,536900,12189,60.88679292029327
14,Joyful noise Man in the mirror YouTube,https://www.youtube.com/watch?v=ytZsndEc830,4216504,67025,887,63.75312225951798
15,Jidenna On the N Word It 39 s Not a Term of Endearment From Whites YouTube,https://www.youtube.com/watch?v=35i63jf9ChE,286599,4442,237,68.15671819262782
16,Top 5 Songs from the Black Panther Soundtrack YouTube,https://www.youtube.com/watch?v=_pE7cnz6wDU,2194973,33543,1962,69.50296064089167
17,Jay Rock Kendrick Lamar Future James Blake King 39 s Dead YouTube,https://www.youtube.com/watch?v=VwAnsAUYnw4,43833418,633136,28942,72.54858207794186
18,Jidenna Bambi YouTube,https://www.youtube.com/watch?v=K0Eeju2aiGY,11544870,160425,6138,74.82723755079819
19,17 Things You Didn 39 t Know About Ariana Grande YouTube,https://www.youtube.com/watch?v=P5QKBj8HNiw,139288,1870,60,76.95469613259668
20,Jidenna Long Live The Chief Vevo dscvr Live YouTube,https://www.youtube.com/watch?v=bk67TqxQzGo&amp;list=RDbk67TqxQzGo,2463094,32531,835,77.7099318525997
21,Jidenna Long Live The Chief Vevo dscvr Live YouTube,https://www.youtube.com/watch?v=bk67TqxQzGo,2463094,32531,835,77.7099318525997
22,Justin Bieber Sorry Vevo xe2 x80 x99s Do It YourSelfie YouTube,https://www.youtube.com/watch?v=6JuaD57Hquc,2539149,33396,1184,78.82618278902272
23,Dua Lipa Thinking 39 Bout You Official Video YouTube,https://www.youtube.com/watch?v=PLDIhqMWH00,15415519,196497,2435,79.43605136502767
24,Ed Sheeran Shape of You LIVE from the 59th GRAMMYs YouTube,https://www.youtube.com/watch?v=uPvARJW_iVI,4444953,55436,1409,82.27280804042424
25,Jidenna Rhyme and Reason Long Live the Chief YouTube,https://www.youtube.com/watch?v=WdGSB3UdPmc,99842,1256,50,82.787728026534
