,Title,URL,Views,Likes,Dislikes,Score
0,NASA Live Earth From Space HDVR xe2 x99 xa5 ISS LIVE FEED AstronomyDay2018 Subscribe now YouTube,https://www.youtube.com/watch?v=RtU_mdL2vBM,1,1148781,59733,9.182331724588815e-07
1,Ken Farley KISS Profile YouTube,https://www.youtube.com/watch?v=zLTQdsFHwD0,177,9,0,19.666666666666668
2,The Map of Physics YouTube,https://www.youtube.com/watch?v=ZihywtixUYo,1377071,60538,360,22.883296221210408
3,Meet Joe Parker Caltech 39 s Newest Entomologist YouTube,https://www.youtube.com/watch?v=t0qdk65ZVBU,620,27,0,22.962962962962962
4,The Grand Tour Exploring the Diversity of Planets Outside the Solar System H Knutson 11 15 17 YouTub,https://www.youtube.com/watch?v=kTjA53n16LM,798,34,0,23.470588235294116
5,Physics in 6 minutes YouTube,https://www.youtube.com/watch?v=t215Q1oBoXQ,312817,13822,583,23.628446257270188
6,How pi was almost 6 283185 YouTube,https://www.youtube.com/watch?v=bcPTiiiYDs8,227449,9670,87,23.73463424814776
7,What is Quantum Computing EEs Talk Tech Electrical Engineering Podcast 15 YouTube,https://www.youtube.com/watch?v=_AZ0IqgAs6k,1073,44,0,24.386363636363637
8,Advanced LIGO Documentary Project YouTube,https://www.youtube.com/watch?v=8DuaAQXOsD0,393,16,0,24.5625
9,The Center for Autonomous Systems and Technologies CAST at Caltech YouTube,https://www.youtube.com/watch?v=L5i3d5Y0sEE,710,28,0,25.357142857142858
10,Going Out in a Blaze of Glory Cassini Mission Highlights L Spilker 11 1 17 YouTube,https://www.youtube.com/watch?v=cVBMoruwJXI,760,28,0,27.142857142857142
11,CPET Annual Seminar 2017 Feynman Prize Winner B Stoltz 2 28 18 YouTube,https://www.youtube.com/watch?v=gD8qFTof3eI,305,11,0,27.727272727272727
12,Why incompetent people think they 39 re amazing David Dunning YouTube,https://www.youtube.com/watch?v=pOLmD_WVY-E,2222828,79908,1196,28.24001422908832
13,Celebrating 40 Years of the Golden Record 9 28 17 YouTube,https://www.youtube.com/watch?v=B8F7MAYxgeQ,484,16,0,30.25
14,Kunal Mooley Explains Cocoon Model for Stellar Smash Up YouTube,https://www.youtube.com/watch?v=2yiZuXketZA,766,25,0,30.64
15,How to Study Way More Effectively The Feynman Technique YouTube,https://www.youtube.com/watch?v=MlJdMr3O5J4,1290289,42417,915,31.08980290106501
16,Using the Brain of a Modern Fly M Dickinson 2 14 18 YouTube,https://www.youtube.com/watch?v=2oZ6k9h6H6w,661,21,0,31.476190476190474
17,Abigail Fraeman KISS Profile YouTube,https://www.youtube.com/watch?v=D1qZBFgjo9I,441,14,0,31.5
18,Cosmography101 12 2 quot Comets Taurids Cosmic Tempo quot w casual Randall Carlson 2007 YouTube,https://www.youtube.com/watch?v=cLFWdb8VW7w,4478,137,0,32.68613138686131
19,Laserdisc 39 s Failure What Went Wrong YouTube,https://www.youtube.com/watch?v=TClRRMFZ7Sw,162229,5157,197,32.70745967741936
20,Flat Metasurface Optics A Faraon 1 17 2018 YouTube,https://www.youtube.com/watch?v=3qeE5A8HIWY,1114,34,0,32.76470588235294
21,Caltech 39 s ME 72 Engineering Design Contest YouTube,https://www.youtube.com/watch?v=3MODH4RYsjc,790,24,0,32.916666666666664
22,The Largest Water Ocean In The Solar System YouTube,https://www.youtube.com/watch?v=L-5v7B6Q44c,18032,559,16,33.20810313075506
23,The Most Important Video of 2018 PhOENIX amp Quantum Entanglement YouTube,https://www.youtube.com/watch?v=C8TSF7pE4co,31694,986,63,34.33802816901409
24,Toward the Robots of Science Fiction A Ames 12 6 2017 YouTube,https://www.youtube.com/watch?v=ZL8ddCQFuXU,2576,75,0,34.346666666666664
25,This Basketball Team Didn 39 t WIN A GAME FOR 26 YEARS YouTube,https://www.youtube.com/watch?v=2l_GtNmF2Lc,273013,8010,77,34.41484936341863
26,Professor Jim Hough The Engineering Challenges of Detecting Gravitational Waves YouTube,https://www.youtube.com/watch?v=jRXPjhVINiQ,207,6,0,34.5
