,Title,URL,Views,Likes,Dislikes,Score
0,CHVRCHES Somebody Else The 1975 cover in the Live Lounge YouTube,https://www.youtube.com/watch?v=wEdRhmBx8IU,151252,7266,106,21.12458100558659
1,Billie Eilish covers Michael Jackson 39 Bad 39 for Like A Version YouTube,https://www.youtube.com/watch?v=Pv6Rt2x6kPg,355699,12342,492,30.01679324894515
2,P3 Christine Live AURORA quot Believer quot Imagine Dragons cover YouTube,https://www.youtube.com/watch?v=ucY21wLJhOo,982772,29803,244,33.247809465814136
3,Joey Bada 39 Temptation 39 live on triple j YouTube,https://www.youtube.com/watch?v=JMrf0FFmogI,144237,4341,24,33.41139680333565
4,Dua Lipa covers Arctic Monkeys Do I Wanna Know in the Live Lounge YouTube,https://www.youtube.com/watch?v=fZB-ptAnoQc,6218703,184821,3747,34.34343417608271
5,Joey Bada covers Prince 39 When Thugs Cry 39 for Like A Version YouTube,https://www.youtube.com/watch?v=dPcclBGKAMw,593121,17483,265,34.447729120687654
6,DMA 39 S In The Air CARDINAL SESSIONS YouTube,https://www.youtube.com/watch?v=aHU9ZGINk-4,8556,248,0,34.5
7,6LACK covers Erykah Badu 39 On amp On 39 for Like A Version YouTube,https://www.youtube.com/watch?v=HETDClwTAuA,924410,26879,258,34.724841290710344
8,Amin xc3 xa9 NPR Music Tiny Desk Concert YouTube,https://www.youtube.com/watch?v=l0MqlDbZ_as,1205012,34724,402,35.109026280519785
9,Daniel Caesar Performs quot Get You quot Here For The Music Fender YouTube,https://www.youtube.com/watch?v=aWB4gR_IvJ4,1663759,47101,248,35.5101914498538
10,Tame Impala Love Paranoia Live on The Tonight Show Starring Jimmy Fallon YouTube,https://www.youtube.com/watch?v=4TGYRiLdDkE,332457,9331,94,35.99188048067555
11,GoldLink Roses Outkast Cover ft Hare Squead amp Masego Radio 1 39 s Piano Sessions YouTube,https://www.youtube.com/watch?v=40FS3xuEI0k,916354,23232,197,39.780942044714564
12,Phoenix cover Whitney 39 No Woman 39 for triple j 39 s Like A Version YouTube,https://www.youtube.com/watch?v=A2R6ovxtz90,86235,2155,46,40.88904694167852
13,DMAs Delete Sofar London YouTube,https://www.youtube.com/watch?v=LhHuZlBjUgQ,8922,218,0,40.92660550458716
14,DMA 39 S Dawning CARDINAL SESSIONS YouTube,https://www.youtube.com/watch?v=NnbEPPI9Quk,10821,260,0,41.61923076923077
15,Tash Sultana 39 s Hypnotic Live Set at Rolling Stone YouTube,https://www.youtube.com/watch?v=LWGKtVFjar0,1082417,25865,611,42.861210105329846
16,Halsey Her Life Story YouTube,https://www.youtube.com/watch?v=WZoAo3jHdSA,1324126,30794,496,43.70341276651924
17,Aurora Conqueror Live From The Tonight Show Starring Jimmy Fallon YouTube,https://www.youtube.com/watch?v=IwNoXFgg8lo,1137910,25712,183,44.573230443809
18,Aurora NPR Music Tiny Desk Concert YouTube,https://www.youtube.com/watch?v=evBgLWQwAFA,1438212,32407,324,44.82785275691176
19,Eminem Love The Way You Lie ft Skylar Grey on Radio 1 YouTube,https://www.youtube.com/watch?v=h_-JFUci0BM,1762492,39512,509,45.188626515909036
20,Donald Glover amp Reggie Watts Make Music YouTube,https://www.youtube.com/watch?v=LIwvxoheLrY,3272644,69412,346,47.38429907624591
21,Eminem River ft Ed Sheeran YouTube,https://www.youtube.com/watch?v=wfWIs2gFTAM,71207152,1542864,41014,47.41295868428938
22, 39 Prescription for Change Ending America xe2 x80 x99s Opioid Crisis 39 MTV YouTube,https://www.youtube.com/watch?v=2QePuumO31o,438348,9216,180,48.51128818061089
23,Chance The Rapper NPR Music Tiny Desk Concert YouTube,https://www.youtube.com/watch?v=-kWbZvVU-e0,3620043,74533,1069,49.27642110421431
24,Heilung LIFA Krigsgaldr LIVE YouTube,https://www.youtube.com/watch?v=QRg_8NNPTD8,4226326,86800,3276,50.60013888223744
25,Drake God xe2 x80 x99s Plan YouTube,https://www.youtube.com/watch?v=xpVfcZ0ZcFM,220308448,4454999,104183,50.63612159190368
26,EVER BEEN BULLIED quot Not Now Not Ever quot JULIA GILLARD misogyny speech YouTube,https://www.youtube.com/watch?v=sl1v4VOLj2Q,125763,2512,46,50.99878345498784
27,Khalid Lost Frank Ocean cover Radio 1 39 s Piano Sessions YouTube,https://www.youtube.com/watch?v=pyViesxqHTM,1200055,23747,330,51.247170858777814
28,Amy Shark Superman Eminem cover YouTube,https://www.youtube.com/watch?v=KWtQU50wDds,977,19,0,51.421052631578945
29, quot Keiki O Ka 39 Aina Stand Strong quot By Paul Izak YouTube,https://www.youtube.com/watch?v=MlCfEP_ECI4,3766150,68923,1196,55.60780781667577
30,Donald Glover Meets The Girl Scout Who Went Viral With 39 Redbone 39 YouTube,https://www.youtube.com/watch?v=itE8Cd85-QM,2423095,43940,751,56.10444789182431
31,Halsey Is So Unlikeable YouTube,https://www.youtube.com/watch?v=oFe2l8c_utc,1403756,35024,10031,56.16596647061177
32,San Cisco 39 Hey Did I Do You Wrong 39 triple j One Night Stand YouTube,https://www.youtube.com/watch?v=a0SwbLjJce8,69662,1246,10,56.36084142394822
33,Amy Shark Adore YouTube,https://www.youtube.com/watch?v=_bMbocmfPnY,100649,1885,100,56.385994397759106
34,Paramore cover Drake 39 s Passionfruit in the Live Lounge YouTube,https://www.youtube.com/watch?v=zqoj_3r9oqg,9330875,165653,2293,57.11848065621939
35,Aurora covers Massive Attack 39 Teardrop 39 for triple j 39 s Like A Version YouTube,https://www.youtube.com/watch?v=GPTY6l_PX5k,3607816,62508,1129,58.77932191791981
36,Aurora covers Massive Attack 39 Teardrop 39 for triple j 39 s Like A Version YouTube,https://www.youtube.com/watch?v=GPTY6l_PX5k&amp;list=RDGPTY6l_PX5k,3607817,62507,1130,58.78125356403864
37,Sticky Fingers Dinners on You Traducida Espa xc3 xb1ol YouTube,https://www.youtube.com/watch?v=GQ3QrTpBJhg&amp;list=PLAHcIXAZ-7GZnIgj4s7ZQh8bl_Jpqx6YS&amp;index=48,311,5,0,62.2
38,Aurora xc2 xabLife on Mars xc2 xbb David Bowie YouTube,https://www.youtube.com/watch?v=kJ095S0MmnA,897646,14452,225,63.0945385534547
39,The Kooks cover Portugal The Man 39 Feel It Still 39 for Like A Version YouTube,https://www.youtube.com/watch?v=rmYam_RNW8s,430157,7057,297,63.63269230769231
40,The Kooks cover Portugal The Man 39 Feel It Still 39 for Like A Version YouTube,https://www.youtube.com/watch?v=rmYam_RNW8s&amp;list=RDEvxJbniM1ec&amp;index=23,430157,7057,297,63.63269230769231
