,Title,URL,Views,Likes,Dislikes,Score
0,GUITAR LESSONS WITH NABIN K BHATTARAI YouTube,https://www.youtube.com/watch?v=nYlsxQNPyt8,97766,3764,55,26.35912645
1,Allarey jovan bipul chettri YouTube,https://www.youtube.com/watch?v=ivzg6m-8JAE,3256,63,0,51.68253968
2,Gedai Jasto Jindagi Neetesh Jung Kunwar Cover by Shr xc3 xa9a YouTube,https://www.youtube.com/watch?v=AHtWjW0wQXM,916288,16320,828,59.14588175
3,Nepathya Siran Ma Photo Cha Official Music Video YouTube,https://www.youtube.com/watch?v=3ImKq4nGqdM,1073396,18105,285,60.23546577
4,Bipul Chettri Wildfire Dadhelo Official Music Video YouTube,https://www.youtube.com/watch?v=tELlvq18e4g&amp;list=RDGMEMJQXQAmqrnmK1SEjY_rKBGAVMtELlvq18e4g&amp;index=2,360745,5426,96,67.68198874
5,Bipul Chettri Wildfire Dadhelo Official Music Video YouTube,https://www.youtube.com/watch?v=tELlvq18e4g&amp;index=2&amp;list=RDGMEMJQXQAmqrnmK1SEjY_rKBGAVMtELlvq18e4g,360746,5426,96,67.68217636
6,Bipul Chettri Wildfire Dadhelo Official Music Video YouTube,https://www.youtube.com/watch?v=tELlvq18e4g&amp;list=RDtELlvq18e4g,360745,5425,96,67.69468944
7,Bipul Chettri Wildfire Dadhelo Official Music Video YouTube,https://www.youtube.com/watch?v=tELlvq18e4g&amp;list=RDGMEMJQXQAmqrnmK1SEjY_rKBGAVMtELlvq18e4g&amp;index=1,360745,5425,96,67.69468944
8,Trishna Gurung Rail Lai Ma lyrical video with guitar chords YouTube,https://www.youtube.com/watch?v=BZozf0DPMEk,128712,1915,46,68.86677368
9,Sushant KC Aama YouTube,https://www.youtube.com/watch?v=GBu54m0cEvg,3142165,46097,952,69.60161701
10,Bipul Chettri Basant Official Video with The Travelling Band YouTube,https://www.youtube.com/watch?v=Hc97uvxJTNQ&amp;list=RDGMEMJQXQAmqrnmK1SEjY_rKBGAVMtELlvq18e4g&amp;index=10,836119,12243,393,70.5585654
11,Bipul Chettri Basant Official Video with The Travelling Band YouTube,https://www.youtube.com/watch?v=Hc97uvxJTNQ&amp;list=RDGMEMJQXQAmqrnmK1SEjY_rKBGAVMtELlvq18e4g&amp;index=9,836119,12243,393,70.5585654
