,Title,URL,Score,Author,Views,Likes,Dislikes
0,Making Food out of Play Doh Learn How To Make Diy Edible Candy vs Real Squishy Food Challenge YouTub,https://www.youtube.com/watch?v=56POcqkKG1E,17.352876971001766,Collins Key,5771081,337496,4924
1,Hooked Why Don 39 t We Official Music Video YouTube,https://www.youtube.com/watch?v=-vuDnPVXFbY,32.951780909891454,Why Don t We,6772942,208851,3310
2,Ed Sheeran Despacito L Fonsi Brahms MOZART HEROES Unplugged Session 2 Official Video YouTube,https://www.youtube.com/watch?v=zM8dSe7W8Nk,33.9277108433735,MOZART HEROES Official ,22528,689,25
3,Selena Gomez Back To You YouTube,https://www.youtube.com/watch?v=VY1eFxgRR-k,52.35384289246829,SelenaGomezVEVO,81004274,1615261,68015
4,Katy Perry Carpool Karaoke YouTube,https://www.youtube.com/watch?v=5tvxzLK3rFs,56.51173640398997,The Late Late Show with James Corden,22457538,421989,24593
5,5 Seconds Of Summer Youngblood YouTube,https://www.youtube.com/watch?v=Jqs5EaAaueA,64.06768299132642,5SOSVEVO,24227835,383286,5126
6,5 Seconds Of Summer Youngblood YouTube,https://www.youtube.com/watch?v=Jqs5EaAaueA&amp;start_radio=1&amp;list=RDCLAK5uy_kmPRjHDECIcuVwnKsx2Ng7fyNgFKWNJFs,64.06840443424268,5SOSVEVO,24227339,383273,5125
7,College Football ll quot How Bad Do You Want It quot ll Motivation YouTube,https://www.youtube.com/watch?v=j8JFNOj5yuc,64.28379364252214,Krys Highlights,616803,9711,116
8, 39 Till I Collapse YouTube,https://www.youtube.com/watch?v=YWxILb-o3l4,65.63160743279812,NA,363796,6195,652
9,Josh Brolin Reads Trump Tweets As Thanos YouTube,https://www.youtube.com/watch?v=d853h-8rsPQ,67.0502805882112,The Late Show with Stephen Colbert,3273797,51985,3159
10,Maroon 5 Girls Like You ft Cardi B YouTube,https://www.youtube.com/watch?v=aJOTlE1K90k&amp;list=RDaJOTlE1K90k&amp;start_radio=1,68.35694005239408,Maroon5VEVO,259028986,3888415,99056
11,Maroon 5 Girls Like You ft Cardi B YouTube,https://www.youtube.com/watch?v=aJOTlE1K90k,68.35714176383532,Maroon5VEVO,259024897,3888340,99052
12, quot Rise Up quot College Football Pump Up Motivation 2018 19 YouTube,https://www.youtube.com/watch?v=Xp8QT1NiAAE,68.38882282996433,Dawg B,57515,858,17
13,College Football quot Almost Upset quot Games 2017 Part 2 YouTube,https://www.youtube.com/watch?v=DEqXgeqgizQ,69.3135593220339,Pro Sports Central,8179,118,0
14,Inky Johnson quot It 39 s Not Just About You quot Motivational Video YouTube,https://www.youtube.com/watch?v=zeWg73GzVbc,70.4366184069643,B Norton,1513049,21937,456
15, Vietsub Kara That Girl Olly Murs Lyrics Tik Tok YouTube,https://www.youtube.com/watch?v=f_LgWgzCPnQ,76.29740258503271,Siwonii Meow,8010388,106257,1268
16,Funniest English Football Chants Ever YouTube,https://www.youtube.com/watch?v=RARPZGpzzjU,86.48325519089083,NI CK,516478,6141,169
17,Taylor Swift Delicate YouTube,https://www.youtube.com/watch?v=tCXGJQYZ9JA,86.92542635426878,TaylorSwiftVEVO,209089899,2570348,164954
18,Imagine Dragons Thunder Audio YouTube,https://www.youtube.com/watch?v=4AqjqOqNrjw,89.35184627651303,ImagineDragonsVEVO,54014442,621545,17031
19,Ariana Grande no tears left to cry YouTube,https://www.youtube.com/watch?v=ffxKSjUwKdU,90.061695693305,ArianaGrandeVevo,348436092,4060414,191554
20,Drake God 39 s Plan YouTube,https://www.youtube.com/watch?v=xpVfcZ0ZcFM,93.07025175164553,DrakeVEVO,679266066,7558863,260440
21,Imagine Dragons Believer Audio YouTube,https://www.youtube.com/watch?v=IhP3J0j9JmY&amp;start_radio=1&amp;list=RDIhP3J0j9JmY,94.21955375771846,ImagineDragonsVEVO,104721171,1140455,28996
22,Imagine Dragons Believer Audio YouTube,https://www.youtube.com/watch?v=IhP3J0j9JmY,94.2196034398061,ImagineDragonsVEVO,104721132,1140454,28996
23,Melhores Vingan xc3 xa7as Do Futebol YouTube,https://www.youtube.com/watch?v=oz05w9thcGI,95.40569170173009,SportsHD,7097134,79770,5381
24,MACKLEMORE FEAT SKYLAR GREY GLORIOUS OFFICIAL MUSIC VIDEO YouTube,https://www.youtube.com/watch?v=7OrLroFa0AI,96.74326289076366,Macklemore LLC,153706857,1622699,33887
25,John Murphy In the House In a Heartbeat Metro Exodus YouTube,https://www.youtube.com/watch?v=Es3GQMOLHkk,99.92764531370179,Epic Video Game Music,3637766,37243,839
26,Keys N Krates Dum Dee Dum JiKay Remix OFFICIAL YouTube,https://www.youtube.com/watch?v=Dg6HQ8RlPGQ,100.42406800338908,Trap City,220933753,2247911,47903
27,Odell Beckham Jr quot See Me Fall quot xe1 xb4 xb4 xe1 xb4 xb0 YouTube,https://www.youtube.com/watch?v=99uButiz9mQ,101.83726055263604,Bulls Prod ,600738,5988,89
28,NFL Players Playing After Tragedy YouTube,https://www.youtube.com/watch?v=Ltf4JNT4NI8,113.87898817061495,Andrew Boucher,3687060,33073,696
29,Football Beat Drop Vines 2018 1 HD YouTube,https://www.youtube.com/watch?v=LxIJloA7lMo,115.51723862091033,Lucas Rafael,1444081,12899,398
30,Be Relentless YouTube,https://www.youtube.com/watch?v=w4HyghS7pTI,116.4015977876786,Coach Rios,757658,6782,273
31,Bad Wolves Zombie Official Video YouTube,https://www.youtube.com/watch?v=9XaS93WMRQQ,118.59592033240983,Eleven Seven Music,93361199,828256,41035
32,Beat Drop Vines FOOTBALL EDITION YouTube,https://www.youtube.com/watch?v=P1I0ZSXu6j0,120.39984882842026,Sports Mixes,796445,6809,194
33,Jonas Blue Mama ft William Singe Female Version Music Video YouTube,https://www.youtube.com/watch?v=rRNhWkIRSwI,121.86583726583727,MusiToon,8522078,72825,2895
34,The Chainsmokers Sick Boy YouTube,https://www.youtube.com/watch?v=eACohWVwTOc,123.66482693806672,ChainsmokersVEVO,200536862,1679742,58126
35,Nerds Play Basketball In The Hood Like A Boss YouTube,https://www.youtube.com/watch?v=fVF5v0RbGjo,124.08915955876553,Coby Persin,33039111,315694,49441
