,Title,URL,Views,Likes,Dislikes,Score
0,Zack Hemsey quot No Man 39 s Land Instrumental quot YouTube,https://www.youtube.com/watch?v=VVgZ3H5gYys,172571,3555,57,49.33419096626644
1,Zack Hemsey quot Soothsayer Instrumental quot YouTube,https://www.youtube.com/watch?v=kox3OiQdXSk,169333,3260,41,52.60422491456974
2,2WEI Survivor Official Destiny 39 s Child cover from TOMB RAIDER trailer 2 YouTube,https://www.youtube.com/watch?v=0iC10hKsi20&amp;index=17&amp;list=RDMMbmUxvX2z5N0,803590,15381,181,52.867763157894736
3,Zack Hemsey quot The Runner Instrumental quot YouTube,https://www.youtube.com/watch?v=p2Al_mcaFAk,159453,2923,40,55.308012486992716
4,Tomb Raider Trailer Song lyrics Music Soundtrack YouTube,https://www.youtube.com/watch?v=7BVdG0C_yF8&amp;index=16&amp;list=RDMMbmUxvX2z5N0,789847,14475,221,55.412305317805526
5,Zack Hemsey quot Lesson From A Nomad Instrumental quot YouTube,https://www.youtube.com/watch?v=j-JX_2ZxcRg&amp;list=RDj-JX_2ZxcRg,124614,2140,14,58.6142991533396
6,Zack Hemsey quot Lesson From A Nomad Instrumental quot YouTube,https://www.youtube.com/watch?v=j-JX_2ZxcRg&amp;index=1&amp;list=RDMMbmUxvX2z5N0,124614,2140,14,58.6142991533396
7,Zack Hemsey The Runner Instrumental Epic Orchestral Beat YouTube,https://www.youtube.com/watch?v=F1Nxgj97Osk,217072,3670,76,60.39844184752365
8,Zack Hemsey quot Into The Valley Instrumental quot YouTube,https://www.youtube.com/watch?v=Gxj_yZaYlSM,55817,934,10,60.40800865800866
9,The Weeknd Kendrick Lamar Pray For Me Lyric Video YouTube,https://www.youtube.com/watch?v=XR7Ev14vUh8&amp;index=3&amp;list=RDMMbmUxvX2z5N0,31932299,536841,12189,60.86377065178442
10,Zack Hemsey quot The Pursuit Of Knowledge Instrumental quot YouTube,https://www.youtube.com/watch?v=aEB4wUcQsEk,97679,1650,47,60.93512164691204
11,Gary Clark Jr Come Together Official Music Video From The Justice League Movie Soundtrack YouTube,https://www.youtube.com/watch?v=r7imYeuAfkg&amp;index=12&amp;list=RDMMbmUxvX2z5N0,6583709,109668,2074,61.19029871554176
12,Imagine Dragons Next To Me Audio YouTube,https://www.youtube.com/watch?v=-C_rvt0SwLE&amp;index=20&amp;list=RDMMbmUxvX2z5N0,35802964,561348,12507,65.23376351256557
13,Black Panther Soundtrack Killmonger Theme Original Score YouTube,https://www.youtube.com/watch?v=lhIHAMiYv14&amp;index=19&amp;list=RDMMbmUxvX2z5N0,713427,10991,225,66.26667285900055
14,2WEI Survivor Epic Cover quot Tomb Raider Trailer 2 Music quot YouTube,https://www.youtube.com/watch?v=JGuWb_81als&amp;index=13&amp;list=RDMMbmUxvX2z5N0,2103023,31526,530,67.84820622015744
15,Kendrick Lamar SZA All The Stars YouTube,https://www.youtube.com/watch?v=JQbjS0_ZfJ0&amp;index=23&amp;list=RDMMbmUxvX2z5N0,76289555,1070957,26134,73.01672627803944
16,Black Panther Song Respect My Throne Prod by Caliber Beats NerdOut YouTube,https://www.youtube.com/watch?v=YP6G0IzrP1w&amp;index=7&amp;list=RDMMbmUxvX2z5N0,8318176,116758,2845,73.02218359625329
17,Avengers Infinity War Official Movie Soundtrack 1 MAIN THEME 2018 FULL VERSION 1080p YouTube,https://www.youtube.com/watch?v=GY4mGgfc0Ag&amp;index=22&amp;list=RDMMbmUxvX2z5N0,1918432,26560,678,74.12224712155165
18,Ludwig G xc3 xb6ransson Wakanda from quot Black Panther Original Score quot YouTube,https://www.youtube.com/watch?v=WMFAsidiQfc&amp;index=14&amp;list=RDMMbmUxvX2z5N0,1511921,20265,281,75.65657526020817
19,John Wick The Vengeful One YouTube,https://www.youtube.com/watch?v=CZE0zrNmU4o&amp;index=26&amp;list=RDMMbmUxvX2z5N0,671675,7366,189,93.5871534067159
